    No;           Material;      Hash;   MM_gmol;   Tr_K;         pr_MPa;     Tc_K;       pc_MPa;   Dc_kgm3; acentric;    k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm; dipom_D; gamma_uni;           xi0;     Gamma;         qDinv;      Tref;                                          FullName
    1;         13BUTADIENE;  cd07ca00;   54.0904;   164.250;   6.99220e-05;   425.135;   4.30530;  245.0297;  0.192000;      79.62457;      93.54379;  337.6000;   0.48890;    0.0000;    1.2390;    2.0700e-10;    0.0570;    5.9300e-10;   637.700;                                    Buta-1,3-diene
    2;             1BUTENE;  cd7a06d0;   56.1063;    87.800;   5.94500e-13;   419.290;   4.00510;  237.8908;  0.192000;      85.08487;      93.00354;  319.0000;   0.51980;    0.3390;    1.2390;    2.1100e-10;    0.0570;    6.0700e-10;   628.940;                                          1-Butene
    3;             1BUTYNE;  4bfbe360;   54.0904;   147.440;   1.18300e-06;   432.000;   4.14160;  251.5205;  0.280000;      86.80735;      71.71501;  343.0000;   0.48470;    0.8100;    1.2390;    1.9900e-10;    0.0540;    5.8800e-10;   648.000;                                         But-1-yne
    4;            1PENTENE;  1f061ca0;   70.1329;   107.797;   1.02000e-11;   465.740;   3.59800;  241.9585;  0.233000;     109.44534;     130.32954;  369.8000;   0.53540;    0.5100;    1.2390;    2.2300e-10;    0.0580;    6.5200e-10;   698.610;                                        Pent-1-ene
    5;    22DIMETHYLBUTANE;  c9396950;   86.1754;   174.200;   4.88865e-06;   490.000;   3.13800;  239.5675;  0.230000;     141.41392;     197.34314;  389.1000;   0.57500;    0.0000;    1.2390;    2.4000e-10;    0.0590;    7.0300e-10;   735.000;                                2,2-Dimethylbutane
    6;    23DIMETHYLBUTANE;  bca9ff20;   86.1754;   145.050;   1.55900e-08;   500.600;   3.16100;  241.2910;  0.247000;     141.37568;     194.47776;  397.5000;   0.57400;    0.0000;    1.2390;    2.3800e-10;    0.0580;    7.0100e-10;   750.900;                                2,3-Dimethylbutane
    7;      3METHYLPENTANE;  5bd6f470;   86.1754;   110.263;   2.00000e-13;   506.000;   3.18450;  239.5675;  0.268000;     139.66451;     198.09922;  401.8100;   0.57500;    0.0000;    1.2390;    2.3700e-10;    0.0590;    7.0300e-10;   759.000;                                   3-Methylpentane
    8;             ACETONE;  342481e0;   58.0791;   178.500;   2.32600e-06;   508.100;   4.69240;  272.9720;  0.307100;      74.59934;      85.52255;  519.0000;   0.46690;    2.8800;    1.2390;    1.9600e-10;    0.0520;    5.8600e-10;   762.150;                                         Propanone
    9;           ACETYLENE;  6283cfc0;   26.0373;   191.750;   1.23523e-01;   308.300;   5.98820;  229.9092;  0.178000;      45.54089;      24.14366;  244.8000;   0.39140;    0.0000;    1.2390;    1.6600e-10;    0.0560;    4.7000e-10;   462.450;                                            Ethyne
   10;             AMMONIA;  e9847540;   17.0305;   195.490;   6.05438e-03;   405.560;  11.36340;  233.2500;  0.256000;      35.53980;      12.27748;  386.0000;   0.29570;    1.4700;    1.2390;    1.4000e-10;    0.0530;    4.0000e-10;   608.340;                                           Ammonia
   11;               ARGON;  ed016370;   39.9480;    83.806;   6.88910e-02;   150.687;   4.86300;  535.5988; -0.002190;      20.78628;      -0.00000;  143.2000;   0.33500;    0.0000;    1.2415;    1.3000e-10;    0.0550;    3.2000e-10;   301.374;                                             Argon
   12;             BENZENE;  f2cfb460;   78.1118;   278.674;   4.78500e-03;   562.020;   4.90728;  304.7143;  0.211000;      81.54426;     156.32034;  412.3000;   0.53490;    0.0000;    1.2390;    2.1600e-10;    0.0569;    6.2000e-10;   843.000;                                           Benzene
   13;              BUTANE;  7b3b4080;   58.1222;   134.895;   6.65600e-07;   425.125;   3.79600;  228.0000;  0.201000;      98.47974;     109.82238;  280.5100;   0.57335;    0.0500;    1.2390;    1.9400e-10;    0.0496;    8.7535e-10;   637.680;                                          n-Butane
   14;                 C11;  62f46c40;  156.3083;   247.606;   4.46100e-07;   638.800;   1.99040;  236.7914;  0.539000;     255.75291;     398.62958;  445.7500;   0.78150;    0.0000;    1.2390;    2.6700e-10;    0.0590;    8.6600e-10;   958.200;                                          Undecane
   15;                 C12;  8bc8dec0;  170.3348;   263.600;   6.26200e-07;   658.100;   1.81700;  226.5453;  0.574000;     278.30083;     440.85625;  522.5920;   0.73564;    0.0000;    1.2390;    1.9400e-10;    0.0496;    1.5200e-09;   987.150;                                          Dodecane
   16;                 C16;  8cf1f140;  226.4410;   291.329;   9.38700e-08;   722.100;   1.47985;  226.4410;  0.749000;     373.45766;     603.40808;  810.8000;   0.77700;    0.0000;    1.2390;    2.9100e-10;    0.0630;    9.9800e-10;  1083.150;                                        Hexadecane
   17;               C1CC6;  0429edd0;   98.1861;   146.700;   2.72600e-10;   572.200;   3.47000;  267.0661;  0.234000;     136.13711;     256.83451;  281.1000;   0.59430;    0.0000;    1.2415;    1.5000e-10;    0.0520;    6.2400e-10;   858.300;                                 Methylcyclohexane
   18;                 C22;  508eb840;  310.6010;   317.040;   3.91300e-09;   792.200;   1.17400;  224.5645;  0.978000;       0.00000;       0.00000;  515.8300;   1.06200;    0.0000;    1.2390;    3.1000e-10;    0.0670;    1.1140e-09;  1188.300;                                          Docosane
   19;            C2BUTENE;  411c4500;   56.1063;   134.300;   2.63600e-07;   435.750;   4.22550;  238.1152;  0.202000;      80.73776;      94.59113;  259.0000;   0.55080;    0.3000;    1.2390;    2.1000e-10;    0.0580;    6.0700e-10;   653.630;                                      cis-2-Butene
   20;               C3CC6;  206f01b0;  126.2392;   178.200;   7.17900e-10;   630.800;   2.86000;  260.0528;  0.326000;     184.50234;     347.89549;  500.9100;   0.63580;    0.0000;    1.2415;    1.5000e-10;    0.0520;    6.2400e-10;   958.725;                               n-Propylcyclohexane
   21;               C4F10;  a8f85e00;  238.0270;   144.000;   1.07700e-06;   386.326;   2.32240;  627.6772;  0.372000;     205.00065;      92.16088;  179.0000;   0.69400;    0.0000;    1.2390;    2.3300e-10;    0.0610;    7.1500e-10;   579.490;                                  Decafluorobutane
   22;               C5F12;  053a8820;  288.0340;   148.210;   1.06400e-07;   421.000;   2.06300;  625.0338;  0.436000;     231.68506;     172.09940;  195.0000;   0.73600;    0.0000;    1.2390;    2.4400e-10;    0.0620;    7.6500e-10;   630.830;                               Dodecafluoropentane
   23;               C6F14;  31895f40;  338.0420;   187.070;   4.13300e-06;   448.000;   1.74160;  616.9266;  0.497000;     275.14155;     202.33290;  160.0000;   0.80500;    0.0000;    1.2390;    2.5400e-10;    0.0600;    8.1200e-10;   672.000;                             Tetradecafluorohexane
   24;                CF3I;  d26ca240;  195.9104;   195.150;   4.88440e-03;   396.440;   3.95300;  868.0006;  0.176000;      67.04612;      29.98897;  314.8000;   0.49260;    0.9200;    1.2390;    2.1000e-10;    0.0570;    5.9800e-10;   594.660;                              Trifluoroiodomethane
   25;            CHLORINE;  828f1c80;   70.9060;   172.170;   1.38080e-03;   416.865;   7.64240;  571.5024;  0.070000;      33.93703;       5.73568;  257.0000;   0.44000;    0.0000;    1.2390;    1.7900e-10;    0.0560;    4.8600e-10;   625.300;                                          Chlorine
   26;       CHLOROBENZENE;  2366d210;  112.5570;   227.900;   7.14000e-06;   632.350;   4.52060;  364.6847;  0.253200;      98.02222;     154.88615;  502.1000;   0.54700;    1.6900;    1.2390;    1.6000e-10;    0.0980;    6.6600e-10;   948.530;                                     Chlorobenzene
   27;                  CO;  091cb7e0;   28.0101;    68.160;   1.55300e-02;   132.860;   3.49400;  303.9096;  0.049700;      29.13878;       0.02465;  103.6970;   0.36150;    0.1000;    1.2390;    1.9400e-10;    0.0590;    4.3700e-10;   199.290;                                   Carbon monoxide
   28;                 CO2;  77c8bee0;   44.0098;   216.592;   5.17950e-01;   304.128;   7.37730;  467.5997;  0.223940;      37.14080;      14.26923;  251.1960;   0.37510;    0.0000;    1.2390;    1.5000e-10;    0.0520;    4.0000e-10;   456.190;                                    Carbon dioxide
   29;                 COS;  e7f902e0;   60.0751;   134.300;   6.44300e-05;   378.770;   6.37000;  445.1565;  0.097800;      41.48571;      17.80541;  335.0000;   0.41300;    0.7152;    1.2390;    1.8200e-10;    0.0560;    5.0000e-10;   568.160;                              Carbon oxide sulfide
   30;         CYCLOBUTENE;  0b1a5d30;   54.0904;   150.000;   6.74580e-06;   448.000;   5.14950;  279.6476;  0.163000;      63.93749;      94.15429;  355.8000;   0.46790;    0.1360;    1.2390;    2.0000e-10;    0.0560;    5.6700e-10;   672.000;                                     1-Cyclobutene
