     Materials;    MM_gmol;  Power_fix;      Zc;      Tc_K;   Dc_kgm3;    pc_MPa;   acentric;  k0_JmolK;  k1_JmolK;    n1_mu;     n2_mu;     n3_mu;    n4_mu;        n1_tc;       n2_tc;       n3_tc;       n4_tc
 RENISO ACC HV;   200.000;    0.2857;    0.2600;   735.628;   308.681;    2.4544;    0.8595;   300.000;   400.000;  0.220249; -0.070232;  0.011963;  0.000000;    0.001000;    0.895835;    2.305079;   -0.322008
         PAG68;   200.000;    0.2857;    0.2640;   741.171;   313.576;    2.5508;    0.5941;   303.844;   438.378;  0.560606; -0.264381;  0.059271;  0.000000;   56.392420;    2.431965;  -11.866254;    2.299837
 Emkarate RL32;   200.000;    0.2857;    0.2640;   738.714;   311.615;    2.5264;    0.6510;   300.000;   400.000;  0.561501; -0.274435;  0.061266;  0.000000;    0.001000;    0.895835;    2.305079;   -0.322008
          DIDP;   446.672;    0.2857;    0.2640;   768.626;   302.777;    1.1436;    0.6612;   674.451;  1384.540;  0.909895; -0.465139;  0.102546;  0.000000;    0.001000;    0.895835;    2.305079;   -0.322008
          PEC5;   472.612;    0.2857;    0.2598;   753.966;   315.454;    1.0871;    0.6453;   300.000;   400.000;  0.425700; -0.196907;  0.043488;  0.000000;    0.001000;    0.895835;    2.305079;   -0.322008
          PEC7;   584.835;    0.2857;    0.2590;   771.143;   300.748;    0.8540;    0.6963;   300.000;   400.000;  0.524506; -0.243371;  0.052003;  0.000000;    0.001000;    0.895835;    2.305079;   -0.322008
          PEC9;   697.051;    0.2857;    0.2560;   785.892;   289.424;    0.6946;    0.8486;   300.000;   400.000;  0.329053; -0.130383;  0.025734;  0.000000;    0.001000;    0.895835;    2.305079;   -0.322008
          PEB8;   640.900;    0.2857;    0.2600;   759.527;   297.963;    0.7633;    0.9527;   300.000;   400.000;  0.484141; -0.202020;  0.039298;  0.000000;    0.001000;    0.895835;    2.305079;   -0.322008
      ISO VG32;   560.260;    0.2857;    0.2640;   728.013;   312.566;    0.8915;    0.7211;   300.000;   400.000;  0.666752; -0.317455;  0.067943;  0.000000;    0.001000;    0.895835;    2.305079;   -0.322008
      LAB ISO5;   240.000;    0.2857;    0.2640;   727.784;   275.102;    1.8311;    0.6646;   300.000;   400.000;  0.425561; -0.201574;  0.043991;  0.000000;    0.001000;    0.895835;    2.305079;   -0.322008
     POE ISO68;   500.000;    0.2857;    0.2560;   975.827;   282.609;    1.1740;    1.5000;   699.850;  1378.100;  0.220249; -0.070232;  0.011963;  0.000000;   50.489225;   54.139944;  -20.327777;    1.813637
