 num;                                                              Material;     source;       CAS ID;  MM_gmol;     Tc/K;      Pc/MPa;  Dc/kgm3;  Acentric; k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm
   1;                                                         1,3-Butadiene;    REFPROP;     106-99-0;  54.0904;  425.135;    4.305300;  245.030;  0.192000;     79.62457;     93.54379;    337.60000;  0.48890
   2;                                                              1-butene;    REFPROP;     106-98-9;  56.1063;  419.290;    4.005100;  237.891;  0.192000;     85.08487;     93.00354;    319.00000;  0.51980
   3;                                                        Ethylacetylene;    REFPROP;     107-00-6;  54.0904;  432.000;    4.141600;  251.520;  0.280000;     86.80735;     71.71501;    343.00000;  0.48470
   4;                                                             1-Pentene;    REFPROP;     109-67-1;  70.1329;  465.740;    3.598000;  241.958;  0.233000;    109.44534;    130.32954;    369.80000;  0.53540
   5;                                                    2,2-Dimethylbutane;    REFPROP;      75-83-2;  86.1754;  490.000;    3.138000;  239.567;  0.230000;    141.41392;    197.34314;    389.10000;  0.57500
   6;                                                    2,3-Dimethylbutane;    REFPROP;      79-29-8;  86.1754;  500.600;    3.161000;  241.291;  0.247000;    141.37568;    194.47776;    397.50000;  0.57400
   7;                                                       3-Methylpentane;    REFPROP;      96-14-0;  86.1754;  506.000;    3.184500;  239.567;  0.268000;    139.66451;    198.09922;    401.81000;  0.57500
   8;                                                               Acetone;    REFPROP;      67-64-1;  58.0791;  508.100;    4.692400;  272.972;  0.307100;     74.59934;     85.52255;    519.00000;  0.46690
   9;                                                                Ethyne;    REFPROP;      74-86-2;  26.0373;  308.300;    5.988200;  229.909;  0.178000;     45.54089;     24.14366;    244.80000;  0.39140
  10;                                                               Ammonia;    REFPROP;    7664-41-7;  17.0305;  405.560;   11.363400;  233.250;  0.256000;     35.53980;     12.27748;    386.00000;  0.29570
  11;                                                                 Argon;    REFPROP;    7440-37-1;  39.9480;  150.687;    4.863000;  535.599; -0.002190;     20.78628;     -0.00000;    143.20000;  0.33500
  12;                                                               Benzene;    REFPROP;      71-43-2;  78.1118;  562.020;    4.907280;  304.714;  0.211000;     81.54426;    156.32034;    412.30000;  0.53490
  13;                                                                Butane;    REFPROP;     106-97-8;  58.1222;  425.125;    3.796000;  228.000;  0.201000;     98.47974;    109.82238;    280.51000;  0.57335
  14;                                                              Undecane;    REFPROP;    1120-21-4; 156.3083;  638.800;    1.990400;  236.791;  0.539000;    255.75291;    398.62958;    445.75000;  0.78150
  15;                                                              Dodecane;    REFPROP;     112-40-3; 170.3348;  658.100;    1.817000;  226.545;  0.574000;    278.30083;    440.85625;    522.59200;  0.73564
  16;                                                            Hexadecane;    REFPROP;     544-76-3; 226.4410;  722.100;    1.479850;  226.441;  0.749000;    373.45766;    603.40808;    810.80000;  0.77700
  17;                                                     Methylcyclohexane;    REFPROP;     108-87-2;  98.1861;  572.200;    3.470000;  267.066;  0.234000;    136.13711;    256.83451;    281.10000;  0.59430
  18;                                                              Docosane;    REFPROP;     629-97-0; 310.6010;  792.200;    1.174000;  224.565;  0.978000;      0.00000;      0.00000;    515.83000;  1.06200
  19;                                                          cis-2-Butene;    REFPROP;     590-18-1;  56.1063;  435.750;    4.225500;  238.115;  0.202000;     80.73776;     94.59113;    259.00000;  0.55080
