 num;                                                              Material;     source;       CAS ID;  MM_gmol;     Tc/K;      Pc/MPa;  Dc/kgm3;  Acentric; k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm
   3;                                                 1,1,2-Trichloroethane;    ChemSep;      79-00-5; 133.4042;  602.000;    4.480000;  474.748;  0.259135;      0.00000;      0.00000;      0.00000;  0.00000
   4;                                                    1,1-Dichloroethane;    ChemSep;      75-34-3;  98.9592;  523.000;    5.100000;  419.318;  0.244000;      0.00000;      0.00000;      0.00000;  0.00000
   5;                                               1,1-Dimethylcyclohexane;    ChemSep;     590-66-9; 112.2126;  591.150;    2.938430;  249.361;  0.237600;      0.00000;      0.00000;      0.00000;  0.00000
   6;                                              1,1-dimethylcyclopentane;    ChemSep;    1638-26-2;  98.1861;  547.000;    3.445000;  272.739;  0.272354;      0.00000;      0.00000;      0.00000;  0.00000
   7;                                            1,2,3,4-tetramethylbenzene;    ChemSep;     488-23-3; 134.2182;  690.000;    2.860000;  278.461;  0.417172;      0.00000;      0.00000;      0.00000;  0.00000
   8;                                            1,2,3,5-tetramethylbenzene;    ChemSep;     527-53-7; 134.2182;  679.000;    3.220000;  307.840;  0.459061;      0.00000;      0.00000;      0.00000;  0.00000
   9;                                                1,2,3-trimethylbenzene;    ChemSep;     526-73-8; 120.1916;  664.500;    3.454000;  276.303;  0.367000;      0.00000;      0.00000;      0.00000;  0.00000
  10;                                            1,2,4,5-tetramethylbenzene;    ChemSep;      95-93-2; 134.2182;  676.000;    2.900000;  278.461;  0.423000;      0.00000;      0.00000;      0.00000;  0.00000
  11;                                                1,2,4-trichlorobenzene;    ChemSep;     120-82-1; 181.4470;  725.000;    3.720000;  459.360;  0.358106;      0.00000;      0.00000;      0.00000;  0.00000
  12;                                                1,2,4-trimethylbenzene;    ChemSep;      95-63-6; 120.1916;  649.100;    3.232000;  276.303;  0.377000;      0.00000;      0.00000;    493.27000;  0.60340
  14;                                                  1,2-Propylene glycol;      DWSIM;      57-55-6;  76.0960;  625.000;    6.079500;  321.080;  1.107000;      0.00000;      0.00000;      0.00000;  0.00000
  15;                                                         1,2-butadiene;    ChemSep;     590-19-2;  54.0904;  452.000;    4.360000;  245.866;  0.165877;      0.00000;      0.00000;      0.00000;  0.00000
