   Material       n1         n2           n3        n4       
         CO2    1.763756  -2.335416    2.966431   -0.378041  
     AMMONIA      0.818205   0.248914    2.321826   -0.439927  
        CF3I  -38.031043 283.092598  -691.640389  581.805868  
      hexane   11.957107 -16.710514    9.678781   -1.358100  
         DME    1.150569  -2.152294    3.352374   -0.583704  
    IPENTANE    3.969052 -438.904361  1932.842629  -789.077192  
     pentane    8.559778  -9.732189    5.680082   -0.689633  
    isobutan    7.196463 -12.298894    8.211696   -1.249244  
      butane    9.100215 -14.459116    9.133255   -1.354971  
     propane    8.216700 -13.053204    8.444621   -1.253928  
      ethane    2.394613  -3.191853    2.957558   -0.190342  
    PROPYLEN     3.367645  -4.672640    4.672619   -0.818900  
    ETHYLENE    0.376136   1.546136    0.062843    0.267046  
     R1234yf   -2.351211   5.425486   -1.942264    0.591178  
    R1234zeE   -1.243439  -0.209408    2.585757   -0.412081  
   R1336mzzZ   -1.511739   5.492849   -2.297970    0.626166  
    R1233zdE    1.323190  -2.803198    3.532045   -0.512081  
    R1224ydZ   -8.436949  22.804805  -14.587486    3.320995  
         R23    5.269381  -6.789808    5.052312   -0.761283  
         R32    1.031907   0.178320    1.589211   -0.202022  
        R125    2.277767  -2.782096    2.979536   -0.354292  
       R134a    1.658814  -1.255594    1.943987   -0.175645  
       R143a   -6.004818  12.495360   -6.220483    1.437848  
       R152a    1.025531  -0.303002    1.578896   -0.157973  
      R227ea   -1.460787   6.192086   -3.669657    1.150156  
      R236fa    2.138702  -6.461302    6.416797   -1.143998  
      R245fa   -5.207724   5.991181   -0.640152    0.136517  
        R116  141.531346 -205.233293  101.248335  -16.209546  
        R218    3.550701  -3.988278    3.513260   -0.392861  
         R11   -0.036449   0.194595    2.357770   -0.369874  
         R12    2.884165  -3.795080    3.937080   -0.568196  
         R13    4.331146  -6.437883    5.306889   -0.791856  
        R115    0.628296  -0.344268    1.932946   -0.176035  
         R22    3.403590  -4.427346    4.109770   -0.636604  
         R21   -1.439458   3.276890   -0.008620    0.099076  
        R123   23.707006 -32.435900   16.530350   -2.404816  
        R124    1.475653  -1.250491    1.859839   -0.110598  
       R141b   -0.088824  -6.172072    7.141372   -1.327207  
       R142b    1.287769  -0.858585    1.780923   -0.119783  
