          Material   DataN    GroupN    n1_glb     n2_glb      n3_glb      n4_glb      xita   ind_fit    n1_ind     n2_ind      n3_ind      n4_ind
       13BUTADIENE       28       2    1.479989  -2.583823    3.966880   -0.793364    0.9587      1   0.000000   3.993599   -2.552012    1.009398   
           1BUTENE       35       5    0.000006  -0.875321    1.900001   -0.148521    0.8599      1   0.000000   9.605323   -8.217757    2.421799   
           1BUTYNE        0       4   11.880032 -16.288054    8.536069   -0.994554    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          1PENTENE       12       4   11.880032 -16.288054    8.536069   -0.994554    0.9689      1   0.000000  -0.629467    1.929600   -0.065016   
  22DIMETHYLBUTANE       33       3    5.722919  -6.567662    4.113766   -0.388300    0.9893      1   0.000000   5.940672   -3.618407    1.082783   
  23DIMETHYLBUTANE       23       3    5.722919  -6.567662    4.113766   -0.388300    0.9716      0   0.000000   0.000000    0.000000    0.000000   
    3METHYLPENTANE       32       5    0.000006  -0.875321    1.900001   -0.148521    0.8921      1   0.000000   8.768413   -6.083848    1.620606   
           ACETONE       82       4   11.880032 -16.288054    8.536069   -0.994554    1.0502      1   4.553475 -16.258083   12.891289   -2.334581   
         ACETYLENE       42       3    5.722919  -6.567662    4.113766   -0.388300    1.1713      1   0.000000   3.857247   -2.263703    0.716844   
           AMMONIA      237       7   11.462394  -7.783495    3.703758   -0.435828    0.9531      1   0.000000   5.311645   -1.898875    0.530880   
             ARGON     1819       2    1.479989  -2.583823    3.966880   -0.793364    0.9966      1   0.810249   0.096870    0.992287    0.185086   
           BENZENE      340       4   11.880032 -16.288054    8.536069   -0.994554    0.9668      1   4.306696  -5.308510    3.745235   -0.321923   
            BUTANE     2568       3    5.722919  -6.567662    4.113766   -0.388300    0.9918      1  12.491992 -18.234580   10.126714   -1.344383   
               C11      377       5    0.000006  -0.875321    1.900001   -0.148521    0.7977      1   9.124088  -8.287775    4.391527   -0.283510   
               C12       85       5    0.000006  -0.875321    1.900001   -0.148521    0.7941      0   0.000000   0.000000    0.000000    0.000000   
               C16      154       5    0.000006  -0.875321    1.900001   -0.148521    0.7369      0   0.000000   0.000000    0.000000    0.000000   
             C1CC6     1141       3    5.722919  -6.567662    4.113766   -0.388300    1.0135      1  13.321177 -17.002806    7.848782   -0.678840   
               C22      131       6    0.000000  -4.369783    4.476704   -0.496072    0.7855      0   0.000000   0.000000    0.000000    0.000000   
          C2BUTENE       15       5    0.000006  -0.875321    1.900001   -0.148521    0.8896      1   0.000000  10.171672   -9.051948    2.623476   
             C3CC6      578       4   11.880032 -16.288054    8.536069   -0.994554    0.9778      1   8.812478 -15.015953    8.762257   -1.063633   
             C4F10        0       3    5.722919  -6.567662    4.113766   -0.388300    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C5F12       10       5    0.000006  -0.875321    1.900001   -0.148521    0.8665      0   0.000000   0.000000    0.000000    0.000000   
             C6F14       30       5    0.000006  -0.875321    1.900001   -0.148521    0.8473      0   0.000000   0.000000    0.000000    0.000000   
              CF3I       30       3    5.722919  -6.567662    4.113766   -0.388300    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          CHLORINE       26       3    5.722919  -6.567662    4.113766   -0.388300    0.8761      1   0.411545   0.927695    1.402620   -0.030811   
     CHLOROBENZENE      154       4   11.880032 -16.288054    8.536069   -0.994554    1.0015      1   0.000000   5.165363   -3.108537    0.984245   
                CO       19       2    1.479989  -2.583823    3.966880   -0.793364    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               CO2      186       3    5.722919  -6.567662    4.113766   -0.388300    1.0584      1   2.171101  -4.386174    6.036869   -1.614342   
               COS        0       3    5.722919  -6.567662    4.113766   -0.388300    1.0000      0   0.000000   0.000000    0.000000    0.000000   
       CYCLOBUTENE        0       3    5.722919  -6.567662    4.113766   -0.388300    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          CYCLOHEX      322       3    5.722919  -6.567662    4.113766   -0.388300    0.9877      1   0.000000   5.465618   -3.484355    1.125909   
