          Material   DataN    GroupN    n1_glb     n2_glb      n3_glb      n4_glb      xita   ind_fit    n1_ind     n2_ind      n3_ind      n4_ind
       13BUTADIENE       27       2    0.000000   5.663446   -5.159777    1.914804    1.0395      1   0.000000   6.924832   -5.418270    1.697210   
           1BUTENE       35       5    0.668208  -1.602844    2.100206   -0.170790    0.8465      1   0.000000   9.537582   -8.112491    2.384943   
           1BUTYNE        0       4   11.727420 -16.139910    8.487367   -0.986736    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          1PENTENE       12       4   11.727420 -16.139910    8.487367   -0.986736    0.9668      1   0.000000  -0.655548    1.967070   -0.071185   
  22DIMETHYLBUTANE       33       3    5.756950  -6.660090    4.179255   -0.398146    0.9784      1   0.000000   6.011626   -3.623485    1.089890   
  23DIMETHYLBUTANE       23       3    5.756950  -6.660090    4.179255   -0.398146    0.9672      0   0.000000   0.000000    0.000000    0.000000   
    3METHYLPENTANE       32       5    0.668208  -1.602844    2.100206   -0.170790    0.8670      1   0.000001   8.886844   -6.175554    1.653127   
           ACETONE       82       4   11.727420 -16.139910    8.487367   -0.986736    1.0802      1   4.456534 -15.913655   12.502531   -2.256233   
         ACETYLENE       42       3    5.756950  -6.660090    4.179255   -0.398146    1.1918      1   0.000000   3.842392   -2.278917    0.713881   
           AMMONIA      236       7   10.694789  -7.094518    3.321939   -0.379223    0.9368      1   0.000000   5.706246   -2.423441    0.651183   
             ARGON     1821       2    0.000000   5.663446   -5.159777    1.914804    0.9760      1   0.873947  -0.135164    1.134946    0.094087   
           BENZENE      340       4   11.727420 -16.139910    8.487367   -0.986736    0.9682      1   4.072584  -4.849411    3.455154   -0.262867   
            BUTANE     2566       3    5.756950  -6.660090    4.179255   -0.398146    0.9913      1  12.434368 -18.208262   10.149112   -1.349404   
               C11      377       5    0.668208  -1.602844    2.100206   -0.170790    0.7965      1   8.045418  -6.787918    3.647584   -0.177158   
               C12       85       5    0.668208  -1.602844    2.100206   -0.170790    0.7958      0   0.000000   0.000000    0.000000    0.000000   
               C16      154       5    0.668208  -1.602844    2.100206   -0.170790    0.7574      1  17.105713 -10.349644    3.972588   -0.167220   
             C1CC6     1142       3    5.756950  -6.660090    4.179255   -0.398146    1.0146      1  13.293770 -16.988270    7.851021   -0.677397   
               C22      132       6    0.000000  -3.534921    3.726244   -0.398100    0.8040      0   0.000000   0.000000    0.000000    0.000000   
          C2BUTENE       15       5    0.668208  -1.602844    2.100206   -0.170790    0.8690      1   0.000000   9.919202   -8.795074    2.567400   
             C3CC6      580       4   11.727420 -16.139910    8.487367   -0.986736    0.9741      1   8.423144 -14.760390    8.762970   -1.071738   
