          Material   DataN    GroupN    n1_glb     n2_glb      n3_glb      n4_glb      xita   ind_fit    n1_ind     n2_ind      n3_ind      n4_ind
       13BUTADIENE       28       2    0.000000   3.149636   -1.842566    0.867329    1.0106      1   0.000000   3.775869   -2.122168    0.850307   
           1BUTENE       35       5    0.000000  -0.686660    1.820957   -0.139048    0.8725      1   0.000000   8.965870   -7.201464    2.076939   
           1BUTYNE        0       4   12.442762 -16.989950    8.903928   -1.072448    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          1PENTENE       12       4   12.442762 -16.989950    8.903928   -1.072448    0.9687      1   0.000000  -0.717041    2.132592   -0.139045   
  22DIMETHYLBUTANE       33       3    6.307168  -7.487078    4.660204   -0.501783    0.9870      1   0.000000   5.715763   -3.135730    0.916766   
  23DIMETHYLBUTANE       23       3    6.307168  -7.487078    4.660204   -0.501783    0.9689      0   0.000000   0.000000    0.000000    0.000000   
    3METHYLPENTANE       32       5    0.000000  -0.686660    1.820957   -0.139048    0.8997      1   0.000000   8.415441   -5.425542    1.406611   
           ACETONE       82       4   12.442762 -16.989950    8.903928   -1.072448    1.0462      1   4.583979 -16.173878   12.669605   -2.252341   
         ACETYLENE       42       3    6.307168  -7.487078    4.660204   -0.501783    1.1693      1   0.000000   3.595255   -1.833937    0.575500   
           AMMONIA      238       7   11.295715  -7.024497    3.377037   -0.391152    0.9607      1   0.000000   4.565130   -1.014465    0.303196   
             ARGON     1822       2    0.000000   3.149636   -1.842566    0.867329    0.9760      1   0.963438  -0.539292    1.555831   -0.004327   
           BENZENE      345       4   12.442762 -16.989950    8.903928   -1.072448    0.9794      0   0.000000   0.000000    0.000000    0.000000   
            BUTANE     2588       3    6.307168  -7.487078    4.660204   -0.501783    0.9951      1  12.796517 -18.382748   10.080420   -1.332849   
               C11      377       5    0.000000  -0.686660    1.820957   -0.139048    0.7968      1  11.043807 -10.694007    5.505367   -0.454018   
               C12       85       5    0.000000  -0.686660    1.820957   -0.139048    0.7920      0   0.000000   0.000000    0.000000    0.000000   
               C16      154       5    0.000000  -0.686660    1.820957   -0.139048    0.7318      0   0.000000   0.000000    0.000000    0.000000   
             C1CC6     1132       3    6.307168  -7.487078    4.660204   -0.501783    1.0148      0   0.000000   0.000000    0.000000    0.000000   
               C22      132       6    0.000000  -4.070879    4.382732   -0.480578    0.7832      0   0.000000   0.000000    0.000000    0.000000   
          C2BUTENE       15       5    0.000000  -0.686660    1.820957   -0.139048    0.9024      1   0.000000   9.222528   -7.763219    2.218297   
             C3CC6      557       4   12.442762 -16.989950    8.903928   -1.072448    0.9753      1  10.507356 -17.889306   10.209479   -1.300480   
             C4F10        0       3    6.307168  -7.487078    4.660204   -0.501783    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C5F12       10       5    0.000000  -0.686660    1.820957   -0.139048    0.8698      0   0.000000   0.000000    0.000000    0.000000   
