          Material   DataN    GroupN    n1_glb     n2_glb      n3_glb      n4_glb      xita   ind_fit    n1_ind     n2_ind      n3_ind      n4_ind
       13BUTADIENE       28       2    0.000000   2.653721   -1.439650    0.784161    1.0047      1   0.000000   1.856871   -0.527584    0.527770   
           1BUTENE       35       5    0.000000  -1.431093    2.199085   -0.188049    0.8573      1   0.000000   6.911271   -5.534595    1.753373   
           1BUTYNE        0       4   14.472435 -21.872595   11.792964   -1.569236    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          1PENTENE       12       4   14.472435 -21.872595   11.792964   -1.569236    0.9670      1   0.000000  -3.709263    4.727747   -0.696860   
  22DIMETHYLBUTANE       33       3    8.508081 -12.333093    7.485091   -0.995274    0.9845      1   0.000000   3.748603   -1.503945    0.584041   
  23DIMETHYLBUTANE       23       3    8.508081 -12.333093    7.485091   -0.995274    0.9677      0   0.000000   0.000000    0.000000    0.000000   
    3METHYLPENTANE       32       5    0.000000  -1.431093    2.199085   -0.188049    0.8838      1   0.000000   6.164216   -3.671037    1.070862   
           ACETONE       82       4   14.472435 -21.872595   11.792964   -1.569236    1.0457      1   4.715870 -19.802889   15.993348   -3.028149   
         ACETYLENE       42       3    8.508081 -12.333093    7.485091   -0.995274    1.1528      1   0.000000   3.039183   -1.621539    0.596955   
           AMMONIA      232       7   10.246421  -7.561958    3.891111   -0.482469    0.9418      1   1.266289   2.255128   -0.133434    0.228194   
             ARGON     1821       2    0.000000   2.653721   -1.439650    0.784161    0.9724      1   0.757366   0.561632    0.049285    0.528950   
           BENZENE      341       4   14.472435 -21.872595   11.792964   -1.569236    0.9674      1   6.901228 -11.142629    7.378823   -1.011876   
            BUTANE     2586       3    8.508081 -12.333093    7.485091   -0.995274    0.9945      0   0.000000   0.000000    0.000000    0.000000   
               C11      375       5    0.000000  -1.431093    2.199085   -0.188049    0.7980      0   0.000000   0.000000    0.000000    0.000000   
               C12       85       5    0.000000  -1.431093    2.199085   -0.188049    0.7959      0   0.000000   0.000000    0.000000    0.000000   
               C16      154       5    0.000000  -1.431093    2.199085   -0.188049    0.7426      1  12.965850 -12.682121    6.675466   -0.613439   
             C1CC6     1142       3    8.508081 -12.333093    7.485091   -0.995274    1.0124      0   0.000000   0.000000    0.000000    0.000000   
               C22      132       6    0.000000  -5.371503    5.033021   -0.578827    0.7872      0   0.000000   0.000000    0.000000    0.000000   
          C2BUTENE       15       5    0.000000  -1.431093    2.199085   -0.188049    0.8856      1   0.463824   6.472312   -5.725635    1.828003   
             C3CC6      579       4   14.472435 -21.872595   11.792964   -1.569236    0.9774      0   0.000000   0.000000    0.000000    0.000000   
             C4F10        0       3    8.508081 -12.333093    7.485091   -0.995274    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C5F12       10       5    0.000000  -1.431093    2.199085   -0.188049    0.8683      0   0.000000   0.000000    0.000000    0.000000   
             C6F14       31       5    0.000000  -1.431093    2.199085   -0.188049    0.8466      0   0.000000   0.000000    0.000000    0.000000   
              CF3I       30       3    8.508081 -12.333093    7.485091   -0.995274    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          CHLORINE       26       3    8.508081 -12.333093    7.485091   -0.995274    0.8844      1   2.755529  -5.938702    6.580473   -1.211800   
     CHLOROBENZENE      154       4   14.472435 -21.872595   11.792964   -1.569236    1.0036      1   0.000000   2.629987   -0.908848    0.507232   
                CO       19       2    0.000000   2.653721   -1.439650    0.784161    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               CO2      185       3    8.508081 -12.333093    7.485091   -0.995274    1.0559      1   1.606626  -2.662739    4.317439   -1.126794   
               COS        0       3    8.508081 -12.333093    7.485091   -0.995274    1.0000      0   0.000000   0.000000    0.000000    0.000000   
       CYCLOBUTENE        0       3    8.508081 -12.333093    7.485091   -0.995274    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          CYCLOHEX      320       3    8.508081 -12.333093    7.485091   -0.995274    0.9856      1   1.905325  -0.049040    0.354565    0.341002   
          CYCLOPEN      103       3    8.508081 -12.333093    7.485091   -0.995274    0.9948      1   0.000000  -9.467054    9.400283   -1.662019   
          CYCLOPRO       17       3    8.508081 -12.333093    7.485091   -0.995274    1.1340      1   0.000000  11.238934  -12.366005    3.962157   
                D2      114       1    2.145823  -7.417379   12.239158   -4.800724    1.0933      0   0.000000   0.000000    0.000000    0.000000   
               D2O     1121       8   10.228392 -10.983819    8.744032   -1.947793    1.1994      1   5.169666  -5.256876    5.055117   -1.101531   
                D4      149       6    0.000000  -5.371503    5.033021   -0.578827    0.7732      0   0.000000   0.000000    0.000000    0.000000   
                D5      150       6    0.000000  -5.371503    5.033021   -0.578827    0.7030      0   0.000000   0.000000    0.000000    0.000000   
                D6        0       5    0.000000  -1.431093    2.199085   -0.188049    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               DEA        6       7   10.246421  -7.561958    3.891111   -0.482469    1.0919      0   0.000000   0.000000    0.000000    0.000000   
            DECANE      334       5    0.000000  -1.431093    2.199085   -0.188049    0.8004      1  11.166955 -12.303527    6.676204   -0.682928   
               DEE      153       3    8.508081 -12.333093    7.485091   -0.995274    0.9985      1   6.787824 -16.943182   12.306307   -2.071217   
               DMC      109       3    8.508081 -12.333093    7.485091   -0.995274    0.9975      1   0.000000  -0.111186    1.526536   -0.022164   
               DME      404       3    8.508081 -12.333093    7.485091   -0.995274    1.0394      1   0.690117   1.257580   -0.037765    0.294900   
          EBENZENE      394       4   14.472435 -21.872595   11.792964   -1.569236    0.9920      1   8.425109 -12.354676    7.017029   -0.787377   
           EGLYCOL       40       7   10.246421  -7.561958    3.891111   -0.482469    1.2269      1   0.000000   0.013529    2.061239   -0.413362   
            ETHANE      532       3    8.508081 -12.333093    7.485091   -0.995274    1.0367      1   0.000000   4.301195   -3.364796    1.316762   
           ETHANOL      355       7   10.246421  -7.561958    3.891111   -0.482469    1.6137      1  11.176202  -7.561186    2.340235   -0.176707   
          ETHYLENE      148       3    8.508081 -12.333093    7.485091   -0.995274    1.0493      1   1.024313  -2.338152    6.405227   -2.629247   
     ETHYLENEOXIDE       59       3    8.508081 -12.333093    7.485091   -0.995274    0.9336      1   0.000000   2.903409   -1.109451    0.657038   
          FLUORINE       64       2    0.000000   2.653721   -1.439650    0.784161    0.9623      1   0.713672  -1.245392    3.176669   -0.559017   
               H2S       58       7   10.246421  -7.561958    3.891111   -0.482469    1.5567      1   0.000000   8.523514   -8.504881    2.915035   
               HCL       85       7   10.246421  -7.561958    3.891111   -0.482469    0.8178      0   0.000000   0.000000    0.000000    0.000000   
            HELIUM      267       1    2.145823  -7.417379   12.239158   -4.800724    1.6120      0   0.000000   0.000000    0.000000    0.000000   
           HEPTANE      845       5    0.000000  -1.431093    2.199085   -0.188049    0.8401      1  11.145506 -17.326654   10.197504   -1.356934   
            HEXANE      288       5    0.000000  -1.431093    2.199085   -0.188049    0.8628      0   0.000000   0.000000    0.000000    0.000000   
          HYDROGEN     1299       1    2.145823  -7.417379   12.239158   -4.800724    1.0917      1   1.992362  -6.591266   10.358243   -3.883066   
           IBUTENE      195       3    8.508081 -12.333093    7.485091   -0.995274    1.0024      1   8.977824 -11.300634    5.280486   -0.279433   
           IHEXANE       14       5    0.000000  -1.431093    2.199085   -0.188049    0.8564      1   0.000000   1.568719    0.668168    0.109740   
           IOCTANE      228       5    0.000000  -1.431093    2.199085   -0.188049    0.8621      0   0.000000   0.000000    0.000000    0.000000   
          IPENTANE        6       3    8.508081 -12.333093    7.485091   -0.995274    0.9585      0   0.000000   0.000000    0.000000    0.000000   
          ISOBUTAN     2526       3    8.508081 -12.333093    7.485091   -0.995274    1.0336      0   0.000000   0.000000    0.000000    0.000000   
           KRYPTON      141       2    0.000000   2.653721   -1.439650    0.784161    0.9448      1   0.000000   8.909644   -9.618160    3.465259   
              MD2M        0       6    0.000000  -5.371503    5.033021   -0.578827    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              MD3M        0       6    0.000000  -5.371503    5.033021   -0.578827    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              MD4M        0       6    0.000000  -5.371503    5.033021   -0.578827    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               MDM      132       6    0.000000  -5.371503    5.033021   -0.578827    0.8192      0   0.000000   0.000000    0.000000    0.000000   
               MEA       10       7   10.246421  -7.561958    3.891111   -0.482469    1.2092      0   0.000000   0.000000    0.000000    0.000000   
           METHANE     1704       2    0.000000   2.653721   -1.439650    0.784161    0.9794      1   1.039498   0.377361   -0.148300    0.626319   
          METHANOL      603       7   10.246421  -7.561958    3.891111   -0.482469    1.7057      1  11.764365  -8.007571    2.111034   -0.073525   
       MILPRF23699        0       6    0.000000  -5.371503    5.033021   -0.578827    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          MLINOLEA      350       6    0.000000  -5.371503    5.033021   -0.578827    0.7847      1   0.000000  -7.869420    8.262625   -1.074805   
          MLINOLEN       51       6    0.000000  -5.371503    5.033021   -0.578827    1.0000      0   0.000000   0.000000    0.000000    0.000000   
                MM      146       6    0.000000  -5.371503    5.033021   -0.578827    0.8675      0   0.000000   0.000000    0.000000    0.000000   
           MOLEATE      790       6    0.000000  -5.371503    5.033021   -0.578827    0.7974      1   0.000000  -3.506253    5.982465   -0.791649   
          MPALMITA       26       6    0.000000  -5.371503    5.033021   -0.578827    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          MSTEARAT       19       6    0.000000  -5.371503    5.033021   -0.578827    0.8126      0   0.000000   0.000000    0.000000    0.000000   
