          Material   DataN    GroupN    n1_glb     n2_glb      n3_glb      n4_glb      xita   ind_fit    n1_ind     n2_ind      n3_ind      n4_ind
       13BUTADIENE       28       2    0.000000   2.423512   -1.228590    0.735032    1.0039      1   0.000000   1.856871   -0.527584    0.527770   
           1BUTENE       35       5    0.000000  -2.059781    2.614608   -0.253696    0.8571      1   0.000000   6.911270   -5.534594    1.753373   
           1BUTYNE        0       4   15.179787 -21.625075   10.957399   -1.313485    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          1PENTENE       12       4   15.179787 -21.625075   10.957399   -1.313485    0.9661      1   0.000000  -3.709220    4.727709   -0.696852   
  22DIMETHYLBUTANE       33       3    9.085523 -13.323940    7.990738   -1.073555    0.9861      1   0.000000   4.128052   -1.811896    0.646028   
  23DIMETHYLBUTANE       78       3    9.085523 -13.323940    7.990738   -1.073555    0.9229      0   0.000000   0.000000    0.000000    0.000000   
    3METHYLPENTANE       32       5    0.000000  -2.059781    2.614608   -0.253696    0.8845      1   0.000000   6.175858   -3.680484    1.072770   
           ACETONE       82       4   15.179787 -21.625075   10.957399   -1.313485    1.0448      1   4.715246 -19.802028   15.992954   -3.028090   
         ACETYLENE       42       3    9.085523 -13.323940    7.990738   -1.073555    1.1501      1   0.000000   3.045555   -1.627977    0.598575   
           AMMONIA      232       7    9.739148  -6.851790    3.613386   -0.451947    0.9445      1   1.266297   2.255113   -0.133425    0.228192   
             ARGON     1976       2    0.000000   2.423512   -1.228590    0.735032    0.9734      1   1.072298  -0.403457    0.809655    0.344184   
           BENZENE      410       4   15.179787 -21.625075   10.957399   -1.313485    0.9643      1   2.662389  -2.712589    2.128032    0.031266   
            BUTANE     2773       3    9.085523 -13.323940    7.990738   -1.073555    0.9947      0   0.000000   0.000000    0.000000    0.000000   
               C11      375       5    0.000000  -2.059781    2.614608   -0.253696    0.8007      0   0.000000   0.000000    0.000000    0.000000   
               C12       85       5    0.000000  -2.059781    2.614608   -0.253696    0.7984      0   0.000000   0.000000    0.000000    0.000000   
               C16      154       5    0.000000  -2.059781    2.614608   -0.253696    0.7414      1  12.966055 -12.682323    6.675531   -0.613446   
             C1CC6     1143       3    9.085523 -13.323940    7.990738   -1.073555    1.0134      0   0.000000   0.000000    0.000000    0.000000   
               C22      132       6    0.000000  -4.710937    4.721291   -0.542398    0.7868      0   0.000000   0.000000    0.000000    0.000000   
          C2BUTENE       15       5    0.000000  -2.059781    2.614608   -0.253696    0.8853      1   0.463811   6.472327   -5.725641    1.828004   
             C3CC6      581       4   15.179787 -21.625075   10.957399   -1.313485    0.9865      0   0.000000   0.000000    0.000000    0.000000   
             C4F10        0       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C5F12       10       5    0.000000  -2.059781    2.614608   -0.253696    0.8709      0   0.000000   0.000000    0.000000    0.000000   
             C6F14       31       5    0.000000  -2.059781    2.614608   -0.253696    0.8492      0   0.000000   0.000000    0.000000    0.000000   
              CF3I       30       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          CHLORINE       26       3    9.085523 -13.323940    7.990738   -1.073555    0.8847      1   2.789984  -5.992043    6.607815   -1.216443   
     CHLOROBENZENE      216       4   15.179787 -21.625075   10.957399   -1.313485    1.0047      1   0.000000   6.478112   -4.386186    1.280896   
                CO       19       2    0.000000   2.423512   -1.228590    0.735032    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               CO2      239       3    9.085523 -13.323940    7.990738   -1.073555    1.0436      1   0.000000   3.162457   -1.919224    0.840124   
               COS        0       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
       CYCLOBUTENE        0       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          CYCLOHEX      394       3    9.085523 -13.323940    7.990738   -1.073555    0.9897      1   0.000000   4.136063   -2.359210    0.881694   
          CYCLOPEN      173       3    9.085523 -13.323940    7.990738   -1.073555    0.9952      0   0.000000   0.000000    0.000000    0.000000   
          CYCLOPRO       17       3    9.085523 -13.323940    7.990738   -1.073555    1.1309      1   0.000000  11.248939  -12.376500    3.964894   
                D2      114       1    2.199587  -7.682618   12.524463   -4.888466    1.0786      0   0.000000   0.000000    0.000000    0.000000   
               D2O     2399       8    9.222268 -10.311651    8.761613   -1.962946    1.1793      1   7.549247 -10.382357    8.123924   -1.630901   
                D4      149       6    0.000000  -4.710937    4.721291   -0.542398    0.7757      0   0.000000   0.000000    0.000000    0.000000   
                D5      150       6    0.000000  -4.710937    4.721291   -0.542398    0.7040      0   0.000000   0.000000    0.000000    0.000000   
                D6        0       5    0.000000  -2.059781    2.614608   -0.253696    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               DEA        6       7    9.739148  -6.851790    3.613386   -0.451947    1.0804      0   0.000000   0.000000    0.000000    0.000000   
            DECANE      334       5    0.000000  -2.059781    2.614608   -0.253696    0.8032      1  11.306446 -12.456968    6.732013   -0.689644   
               DEE      153       3    9.085523 -13.323940    7.990738   -1.073555    1.0003      1   6.787778 -16.943123   12.306281   -2.071214   
               DMC      109       3    9.085523 -13.323940    7.990738   -1.073555    0.9997      1   0.000000  -0.111193    1.526542   -0.022165   
               DME      404       3    9.085523 -13.323940    7.990738   -1.073555    1.0390      1   0.690115   1.257584   -0.037768    0.294900   
          EBENZENE      534       4   15.179787 -21.625075   10.957399   -1.313485    0.9987      1  10.926777 -15.648476    8.267632   -0.920569   
           EGLYCOL       40       7    9.739148  -6.851790    3.613386   -0.451947    1.2232      1   0.000000   0.013525    2.061241   -0.413363   
            ETHANE      549       3    9.085523 -13.323940    7.990738   -1.073555    1.0309      1   0.000000   4.482384   -3.697427    1.454100   
           ETHANOL      355       7    9.739148  -6.851790    3.613386   -0.451947    1.6182      1  11.163635  -7.548571    2.336071   -0.176255   
          ETHYLENE      148       3    9.085523 -13.323940    7.990738   -1.073555    1.0501      1   1.024314  -2.338155    6.405231   -2.629248   
     ETHYLENEOXIDE       59       3    9.085523 -13.323940    7.990738   -1.073555    0.9332      1   0.000000   2.903410   -1.109452    0.657038   
          FLUORINE       64       2    0.000000   2.423512   -1.228590    0.735032    0.9614      1   0.713632  -1.245323    3.176630   -0.559010   
               H2S       58       7    9.739148  -6.851790    3.613386   -0.451947    1.5577      1   0.000000   8.523518   -8.504885    2.915036   
               HCL       85       7    9.739148  -6.851790    3.613386   -0.451947    0.8211      0   0.000000   0.000000    0.000000    0.000000   
            HELIUM      322       1    2.199587  -7.682618   12.524463   -4.888466    1.3675      0   0.000000   0.000000    0.000000    0.000000   
           HEPTANE      893       5    0.000000  -2.059781    2.614608   -0.253696    0.8356      0   0.000000   0.000000    0.000000    0.000000   
            HEXANE      288       5    0.000000  -2.059781    2.614608   -0.253696    0.8649      0   0.000000   0.000000    0.000000    0.000000   
          HYDROGEN     1383       1    2.199587  -7.682618   12.524463   -4.888466    1.0919      1   2.142176  -7.139181   10.902274   -4.046401   
           IBUTENE      195       3    9.085523 -13.323940    7.990738   -1.073555    1.0034      1   8.977851 -11.300678    5.280509   -0.279437   
           IHEXANE       14       5    0.000000  -2.059781    2.614608   -0.253696    0.8576      1   0.000000   1.565025    0.671183    0.109130   
           IOCTANE      272       5    0.000000  -2.059781    2.614608   -0.253696    0.8580      0   0.000000   0.000000    0.000000    0.000000   
          IPENTANE        6       3    9.085523 -13.323940    7.990738   -1.073555    0.9596      0   0.000000   0.000000    0.000000    0.000000   
          ISOBUTAN     2717       3    9.085523 -13.323940    7.990738   -1.073555    1.0342      0   0.000000   0.000000    0.000000    0.000000   
           KRYPTON      141       2    0.000000   2.423512   -1.228590    0.735032    0.9434      1   0.000000   8.909656   -9.618174    3.465263   
              MD2M        0       6    0.000000  -4.710937    4.721291   -0.542398    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              MD3M        0       6    0.000000  -4.710937    4.721291   -0.542398    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              MD4M        0       6    0.000000  -4.710937    4.721291   -0.542398    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               MDM      132       6    0.000000  -4.710937    4.721291   -0.542398    0.8242      0   0.000000   0.000000    0.000000    0.000000   
               MEA       10       7    9.739148  -6.851790    3.613386   -0.451947    1.2063      0   0.000000   0.000000    0.000000    0.000000   
           METHANE     1838       2    0.000000   2.423512   -1.228590    0.735032    0.9797      1   1.142908   0.074010    0.047999    0.590042   
          METHANOL      603       7    9.739148  -6.851790    3.613386   -0.451947    1.7140      1  11.705359  -7.939253    2.084998   -0.070256   
       MILPRF23699        0       6    0.000000  -4.710937    4.721291   -0.542398    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          MLINOLEA      350       6    0.000000  -4.710937    4.721291   -0.542398    0.7846      1   0.000000  -7.869416    8.262623   -1.074805   
          MLINOLEN       51       6    0.000000  -4.710937    4.721291   -0.542398    1.0000      0   0.000000   0.000000    0.000000    0.000000   
                MM      146       6    0.000000  -4.710937    4.721291   -0.542398    0.8770      0   0.000000   0.000000    0.000000    0.000000   
           MOLEATE      790       6    0.000000  -4.710937    4.721291   -0.542398    0.7972      1   0.000000  -3.506257    5.982466   -0.791650   
          MPALMITA       26       6    0.000000  -4.710937    4.721291   -0.542398    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          MSTEARAT       19       6    0.000000  -4.710937    4.721291   -0.542398    0.8123      0   0.000000   0.000000    0.000000    0.000000   
           MXYLENE      290       4   15.179787 -21.625075   10.957399   -1.313485    1.0079      0   0.000000   0.000000    0.000000    0.000000   
               N2O       87       2    0.000000   2.423512   -1.228590    0.735032    1.0353      1   2.252377  -4.354136    4.675762   -0.906752   
              NEON       65       2    0.000000   2.423512   -1.228590    0.735032    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          NEOPENTN      142       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      1   0.000000   0.000000    0.000000    0.000000   
               NF3      156       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          NITROGEN     1519       2    0.000000   2.423512   -1.228590    0.735032    0.9491      1   1.696786  -1.677009    1.985695    0.018648   
            NONANE      112       5    0.000000  -2.059781    2.614608   -0.253696    0.8188      1   2.505536 -16.685337   12.733732   -1.909589   
          NOVEC649        0       4   15.179787 -21.625075   10.957399   -1.313485    1.0000      0   0.000000   0.000000    0.000000    0.000000   
            OCTANE      129       5    0.000000  -2.059781    2.614608   -0.253696    0.8394      1   0.000000   3.654140   -0.763224    0.394412   
          ORTHOHYD        0       1    2.199587  -7.682618   12.524463   -4.888466    1.0000      0   0.000000   0.000000    0.000000    0.000000   
            OXYGEN      168       2    0.000000   2.423512   -1.228590    0.735032    0.9945      1   3.039389  -5.749760    5.645242   -1.041278   
           OXYLENE      447       4   15.179787 -21.625075   10.957399   -1.313485    1.0267      0   0.000000   0.000000    0.000000    0.000000   
           PARAHYD        0       1    2.199587  -7.682618   12.524463   -4.888466    1.0000      0   0.000000   0.000000    0.000000    0.000000   
           PENTANE      321       3    9.085523 -13.323940    7.990738   -1.073555    0.9452      0   0.000000   0.000000    0.000000    0.000000   
              POE5      245       6    0.000000  -4.710937    4.721291   -0.542398    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              POE7      259       6    0.000000  -4.710937    4.721291   -0.542398    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              POE9      108       6    0.000000  -4.710937    4.721291   -0.542398    1.0000      0   0.000000   0.000000    0.000000    0.000000   
        PROPADIENE        0       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
           PROPANE     2788       3    9.085523 -13.323940    7.990738   -1.073555    1.0021      0   0.000000   0.000000    0.000000    0.000000   
          PROPYLEN      402       4   15.179787 -21.625075   10.957399   -1.313485    0.9070      1   3.230682  -3.728187    3.397396   -0.416498   
    PROPYLENEOXIDE       14       3    9.085523 -13.323940    7.990738   -1.073555    1.0529      0   0.000000   0.000000    0.000000    0.000000   
           PROPYNE        8       3    9.085523 -13.323940    7.990738   -1.073555    1.0729      0   0.000000   0.000000    0.000000    0.000000   
           PXYLENE      408       4   15.179787 -21.625075   10.957399   -1.313485    1.0060      0   0.000000   0.000000    0.000000    0.000000   
               R11      456       3    9.085523 -13.323940    7.990738   -1.073555    0.9456      1   6.109916  -8.081401    5.694181   -0.746999   
             R1123        0       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              R113      177       3    9.085523 -13.323940    7.990738   -1.073555    0.9721      0   0.000000   0.000000    0.000000    0.000000   
              R114      149       3    9.085523 -13.323940    7.990738   -1.073555    0.9914      0   0.000000   0.000000    0.000000    0.000000   
              R115     1037       3    9.085523 -13.323940    7.990738   -1.073555    0.9757      1   2.684206  -1.510987    1.248999    0.171715   
              R116       24       3    9.085523 -13.323940    7.990738   -1.073555    0.8258      0   0.000000   0.000000    0.000000    0.000000   
               R12      662       3    9.085523 -13.323940    7.990738   -1.073555    0.9633      1   7.308678 -10.242693    6.662409   -0.887399   
             R1216        0       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          R1224YDZ      118       3    9.085523 -13.323940    7.990738   -1.073555    1.0414      1   0.000000  10.620482   -8.882033    2.448372   
              R123      350       3    9.085523 -13.323940    7.990738   -1.073555    1.0033      0   0.000000   0.000000    0.000000    0.000000   
          R1233ZDE     2409       3    9.085523 -13.323940    7.990738   -1.073555    1.0149      1   6.587403  -8.578129    4.992986   -0.488678   
           R1234YF      801       3    9.085523 -13.323940    7.990738   -1.073555    1.0464      1   0.000000   3.165080   -1.781248    0.758404   
          R1234ZEE     1217       3    9.085523 -13.323940    7.990738   -1.073555    1.0455      1   0.000000   0.743993    0.654730    0.146254   
          R1234ZEZ        0       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              R124       94       3    9.085523 -13.323940    7.990738   -1.073555    1.0360      1   2.580954   1.162087   -1.577832    0.845358   
           R1243ZF        0       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              R125     2098       3    9.085523 -13.323940    7.990738   -1.073555    1.0305      0   0.000000   0.000000    0.000000    0.000000   
               R13      766       3    9.085523 -13.323940    7.990738   -1.073555    0.9716      1   6.803020 -10.637484    7.136234   -0.982795   
         R1336MZZZ      163       3    9.085523 -13.323940    7.990738   -1.073555    1.0666      1   0.000000   4.245418   -2.385037    0.782036   
             R134A     7470       3    9.085523 -13.323940    7.990738   -1.073555    1.0435      1   3.526519  -1.441808    0.449187    0.356351   
               R14      400       3    9.085523 -13.323940    7.990738   -1.073555    0.9925      1   7.094875 -11.040071    7.064330   -0.930115   
             R141B      218       3    9.085523 -13.323940    7.990738   -1.073555    1.0038      1   7.018073 -16.756749   11.918656   -1.961762   
             R142B      384       3    9.085523 -13.323940    7.990738   -1.073555    1.0137      1   3.621588  -2.247687    1.033364    0.290898   
             R143A      677       3    9.085523 -13.323940    7.990738   -1.073555    1.0432      1   0.000000   3.682744   -2.381447    0.933274   
              R150       40       3    9.085523 -13.323940    7.990738   -1.073555    1.0508      1   0.000000   4.118153   -1.217981    0.347133   
             R152A      941       3    9.085523 -13.323940    7.990738   -1.073555    1.0497      1   3.847645  -2.209097    1.043843    0.208463   
              R161      361       3    9.085523 -13.323940    7.990738   -1.073555    1.0360      1   0.000000   1.942812   -0.482475    0.431749   
               R21      199       3    9.085523 -13.323940    7.990738   -1.073555    1.0075      1   1.248740  -0.870205    1.612077   -0.023022   
              R218      174       3    9.085523 -13.323940    7.990738   -1.073555    0.9622      1   9.808609 -12.673319    6.997129   -0.790488   
               R22     1382       3    9.085523 -13.323940    7.990738   -1.073555    1.0369      1   9.051151 -12.554372    7.570085   -1.057302   
            R227EA      577       3    9.085523 -13.323940    7.990738   -1.073555    1.0420      1   3.673903 -10.707481    9.630298   -1.923095   
               R23      626       3    9.085523 -13.323940    7.990738   -1.073555    1.0436      1   6.791573  -8.198695    5.101841   -0.636543   
            R236EA      404       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
            R236FA      271       3    9.085523 -13.323940    7.990738   -1.073555    1.0346      1   2.130536  -3.032654    2.773510   -0.220844   
            R245CA      164       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
            R245FA      453       3    9.085523 -13.323940    7.990738   -1.073555    1.0544      1   0.000000  -0.267949    1.536761   -0.051872   
               R32      990       3    9.085523 -13.323940    7.990738   -1.073555    0.9817      1   5.307118  -5.628086    3.727023   -0.366507   
           R365MFC      104       3    9.085523 -13.323940    7.990738   -1.073555    1.0312      0   0.000000   0.000000    0.000000    0.000000   
               R40       11       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               R41       45       3    9.085523 -13.323940    7.990738   -1.073555    0.8762      0   0.000000   0.000000    0.000000    0.000000   
             RC318      420       3    9.085523 -13.323940    7.990738   -1.073555    0.9384      1   0.000000  10.435702   -7.616834    2.033379   
            RE143A        0       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          RE245CB2       39       3    9.085523 -13.323940    7.990738   -1.073555    1.0224      1   2.558045  -3.532988    2.579871   -0.055381   
          RE245FA2      436       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          RE347MCC        4       3    9.085523 -13.323940    7.990738   -1.073555    0.9597      0   0.000000   0.000000    0.000000    0.000000   
               SF6      614       2    0.000000   2.423512   -1.228590    0.735032    0.8870      1   0.000000  10.030226   -7.226455    1.985054   
               SO2      139       2    0.000000   2.423512   -1.228590    0.735032    0.9881      1   0.000000   4.257424   -0.767247    0.225956   
          T2BUTENE        0       3    9.085523 -13.323940    7.990738   -1.073555    1.0000      0   0.000000   0.000000    0.000000    0.000000   
           TOLUENE     1482       4   15.179787 -21.625075   10.957399   -1.313485    0.9996      0   0.000000   0.000000    0.000000    0.000000   
