          Material   DataN    GroupN    n1_glb     n2_glb      n3_glb      n4_glb      xita   ind_fit    n1_ind     n2_ind      n3_ind      n4_ind
       13BUTADIENE       63       2    0.473595  -0.214633    0.059927    0.000000    1.2958      1   0.414770  -0.258833    0.081544    0.000000   
           1BUTENE       55       5    0.308696  -0.136522    0.031448    0.000000    0.8225      1   0.555286  -0.336990    0.093088    0.000000   
           1BUTYNE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          1PENTENE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
  22DIMETHYLBUTANE       80       3    0.460243  -0.244938    0.065777    0.000000    0.9167      1   1.393724  -1.167778    0.364213    0.000000   
  23DIMETHYLBUTANE      131       3    0.460243  -0.244938    0.065777    0.000000    1.0277      1   0.426378  -0.224740    0.060730    0.000000   
    3METHYLPENTANE      146       5    0.308696  -0.136522    0.031448    0.000000    0.8665      1   0.854898  -0.611791    0.175934    0.000000   
           ACETONE      217       4    0.335949  -0.168699    0.043632    0.000000    0.9644      1   0.424695  -0.220877    0.055368    0.000000   
         ACETYLENE      228       3    0.460243  -0.244938    0.065777    0.000000    0.9086      0   0.000000   0.000000    0.000000    0.000000   
           AMMONIA      408       7    0.331435  -0.144835    0.033804    0.000000    1.0161      1   0.382312  -0.221423    0.063637    0.000000   
             ARGON      873       2    0.473595  -0.214633    0.059927    0.000000    0.9338      1   0.601987  -0.469665    0.194529    0.000000   
           BENZENE     1352       4    0.335949  -0.168699    0.043632    0.000000    0.8118      1   0.419434  -0.239489    0.071477    0.000000   
            BUTANE      712       3    0.460243  -0.244938    0.065777    0.000000    1.0340      1   0.402405  -0.189274    0.047315    0.000000   
               C11      205       5    0.308696  -0.136522    0.031448    0.000000    1.0742      1   0.309993  -0.135741    0.030082    0.000000   
               C12      407       5    0.308696  -0.136522    0.031448    0.000000    1.0984      1   0.394672  -0.192428    0.043963    0.000000   
               C16      208       5    0.308696  -0.136522    0.031448    0.000000    1.2871      1   0.225079  -0.083020    0.016336    0.000000   
             C1CC6      196       3    0.460243  -0.244938    0.065777    0.000000    0.9581      1   0.684978  -0.454907    0.132128    0.000000   
               C22       36       6    0.199198  -0.065896    0.012286    0.000000    1.1985      1   0.155851  -0.046032    0.007757    0.000000   
          C2BUTENE       31       5    0.308696  -0.136522    0.031448    0.000000    0.8049      1   0.646802  -0.416871    0.117443    0.000000   
             C3CC6        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C4F10        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C5F12       16       5    0.308696  -0.136522    0.031448    0.000000    0.8725      1   0.433234  -0.212304    0.051130    0.000000   
             C6F14       42       5    0.308696  -0.136522    0.031448    0.000000    0.8961      1   0.487432  -0.259349    0.064315    0.000000   
              CF3I       18       3    0.460243  -0.244938    0.065777    0.000000    0.9347      1   0.847875  -0.643881    0.201252    0.000000   
          CHLORINE       49       3    0.460243  -0.244938    0.065777    0.000000    0.7185      0   0.000000   0.000000    0.000000    0.000000   
     CHLOROBENZENE      268       4    0.335949  -0.168699    0.043632    0.000000    0.9201      1   0.360245  -0.177013    0.045978    0.000000   
                CO       78       2    0.473595  -0.214633    0.059927    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               CO2      466       3    0.460243  -0.244938    0.065777    0.000000    1.0223      1   0.394713  -0.200814    0.056498    0.000000   
               COS        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
       CYCLOBUTENE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
