          Material   DataN    GroupN    n1_glb     n2_glb      n3_glb      n4_glb      xita   ind_fit    n1_ind     n2_ind      n3_ind      n4_ind
       13BUTADIENE       63       2    0.477382  -0.221533    0.059578    0.000000    1.2596      1   0.409332  -0.253150    0.079285    0.000000   
           1BUTENE       55       5    0.304857  -0.134210    0.030872    0.000000    0.8222      1   0.551601  -0.332668    0.091422    0.000000   
           1BUTYNE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          1PENTENE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
  22DIMETHYLBUTANE       64       3    0.448576  -0.231852    0.061359    0.000000    0.9697      1   0.835722  -0.594170    0.175339    0.000000   
  23DIMETHYLBUTANE      128       3    0.448576  -0.231852    0.061359    0.000000    1.0252      1   0.381274  -0.176810    0.044881    0.000000   
    3METHYLPENTANE      143       5    0.304857  -0.134210    0.030872    0.000000    0.8550      1   0.782213  -0.543964    0.155198    0.000000   
           ACETONE      191       4    0.335355  -0.167823    0.043342    0.000000    0.9772      1   0.431816  -0.232389    0.059408    0.000000   
         ACETYLENE      234       3    0.448576  -0.231852    0.061359    0.000000    0.9945      0   0.000000   0.000000    0.000000    0.000000   
           AMMONIA      408       7    0.309980  -0.132994    0.031202    0.000000    1.0100      1   0.388863  -0.235364    0.069044    0.000000   
             ARGON      784       2    0.477382  -0.221533    0.059578    0.000000    0.9786      1   0.533352  -0.316800    0.106342    0.000000   
           BENZENE     1273       4    0.335355  -0.167823    0.043342    0.000000    0.8174      1   0.376467  -0.191083    0.054591    0.000000   
            BUTANE      670       3    0.448576  -0.231852    0.061359    0.000000    1.0348      1   0.403102  -0.189130    0.047097    0.000000   
               C11      203       5    0.304857  -0.134210    0.030872    0.000000    1.0672      1   0.302916  -0.132411    0.029512    0.000000   
               C12      312       5    0.304857  -0.134210    0.030872    0.000000    1.1071      1   0.302230  -0.132622    0.029320    0.000000   
               C16      198       5    0.304857  -0.134210    0.030872    0.000000    1.3299      1   0.202966  -0.071767    0.013814    0.000000   
             C1CC6      156       3    0.448576  -0.231852    0.061359    0.000000    0.9711      1   0.558990  -0.330055    0.091958    0.000000   
               C22       36       6    0.208989  -0.071777    0.013392    0.000000    1.2708      1   0.122392  -0.031968    0.004948    0.000000   
          C2BUTENE       31       5    0.304857  -0.134210    0.030872    0.000000    0.7995      1   0.650553  -0.417819    0.117307    0.000000   
             C3CC6        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C4F10        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C5F12       16       5    0.304857  -0.134210    0.030872    0.000000    0.8676      1   0.436472  -0.213955    0.051483    0.000000   
             C6F14       42       5    0.304857  -0.134210    0.030872    0.000000    0.8934      1   0.482429  -0.257658    0.064230    0.000000   
              CF3I       18       3    0.448576  -0.231852    0.061359    0.000000    0.9447      1   0.834412  -0.627648    0.194851    0.000000   
          CHLORINE       96       3    0.448576  -0.231852    0.061359    0.000000    0.8844      0   0.000000   0.000000    0.000000    0.000000   
     CHLOROBENZENE      268       4    0.335355  -0.167823    0.043342    0.000000    0.9181      1   0.360130  -0.177130    0.046150    0.000000   
                CO       78       2    0.477382  -0.221533    0.059578    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               CO2      398       3    0.448576  -0.231852    0.061359    0.000000    1.0186      1   0.409840  -0.220035    0.064160    0.000000   
               COS        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
       CYCLOBUTENE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          CYCLOHEX      631       3    0.448576  -0.231852    0.061359    0.000000    0.8824      1   0.940368  -0.705106    0.216821    0.000000   
          CYCLOPEN      238       3    0.448576  -0.231852    0.061359    0.000000    0.9591      1   0.343284  -0.126614    0.028994    0.000000   
          CYCLOPRO        4       3    0.448576  -0.231852    0.061359    0.000000    0.9873      0   0.000000   0.000000    0.000000    0.000000   
                D2      602       1    0.251886   0.247561   -0.146890    0.000000    1.0590      1   0.197135   0.275482   -0.153713    0.000000   
