          Material   DataN    GroupN    n1_glb     n2_glb      n3_glb      n4_glb      xita   ind_fit    n1_ind     n2_ind      n3_ind      n4_ind
       13BUTADIENE       63       2    0.408646  -0.138408    0.028321    0.000000    1.2763      1   0.404799  -0.236108    0.069735    0.000000   
           1BUTENE       55       5    0.306815  -0.132028    0.029267    0.000000    0.8328      1   0.544774  -0.317708    0.084112    0.000000   
           1BUTYNE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          1PENTENE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
  22DIMETHYLBUTANE       78       3    0.443525  -0.224148    0.057030    0.000000    0.9150      1   1.296269  -1.029438    0.309641    0.000000   
  23DIMETHYLBUTANE      130       3    0.443525  -0.224148    0.057030    0.000000    1.0277      1   0.425662  -0.217127    0.055798    0.000000   
    3METHYLPENTANE      139       5    0.306815  -0.132028    0.029267    0.000000    0.8763      1   0.639477  -0.394984    0.104926    0.000000   
           ACETONE      217       4    0.323047  -0.153185    0.037503    0.000000    0.9630      1   0.420335  -0.211447    0.050912    0.000000   
         ACETYLENE      234       3    0.443525  -0.224148    0.057030    0.000000    0.9782      0   0.000000   0.000000    0.000000    0.000000   
           AMMONIA      407       7    0.332330  -0.141386    0.031710    0.000000    1.0316      1   0.353642  -0.185158    0.049530    0.000000   
             ARGON      872       2    0.408646  -0.138408    0.028321    0.000000    0.9416      1   0.571786  -0.419124    0.162659    0.000000   
           BENZENE     1350       4    0.323047  -0.153185    0.037503    0.000000    0.8147      1   0.387730  -0.199963    0.055372    0.000000   
            BUTANE      712       3    0.443525  -0.224148    0.057030    0.000000    1.0391      1   0.392390  -0.178362    0.042352    0.000000   
               C11      205       5    0.306815  -0.132028    0.029267    0.000000    1.0705      1   0.304884  -0.129809    0.027861    0.000000   
               C12      421       5    0.306815  -0.132028    0.029267    0.000000    1.0916      1   0.357586  -0.163778    0.035949    0.000000   
               C16      209       5    0.306815  -0.132028    0.029267    0.000000    1.2723      1   0.226631  -0.082506    0.015852    0.000000   
             C1CC6      195       3    0.443525  -0.224148    0.057030    0.000000    0.9582      1   0.652476  -0.409433    0.113565    0.000000   
               C22       36       6    0.202818  -0.066843    0.012198    0.000000    1.1962      1   0.160532  -0.048085    0.008064    0.000000   
          C2BUTENE       31       5    0.306815  -0.132028    0.029267    0.000000    0.8145      1   0.619382  -0.379428    0.102352    0.000000   
             C3CC6        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C4F10        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C5F12       18       5    0.306815  -0.132028    0.029267    0.000000    0.8642      1   0.345408  -0.140112    0.030292    0.000000   
             C6F14       41       5    0.306815  -0.132028    0.029267    0.000000    0.8882      1   0.528598  -0.285175    0.069847    0.000000   
              CF3I       14       3    0.443525  -0.224148    0.057030    0.000000    0.9398      1   0.732555  -0.499548    0.146094    0.000000   
          CHLORINE       96       3    0.443525  -0.224148    0.057030    0.000000    0.8525      0   0.000000   0.000000    0.000000    0.000000   
     CHLOROBENZENE      268       4    0.323047  -0.153185    0.037503    0.000000    0.9211      1   0.357766  -0.170372    0.042147    0.000000   
                CO       78       2    0.408646  -0.138408    0.028321    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               CO2      465       3    0.443525  -0.224148    0.057030    0.000000    1.0245      1   0.372385  -0.172340    0.044322    0.000000   
               COS        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
       CYCLOBUTENE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          CYCLOHEX      671       3    0.443525  -0.224148    0.057030    0.000000    0.8816      1   0.907249  -0.654583    0.194639    0.000000   
          CYCLOPEN      331       3    0.443525  -0.224148    0.057030    0.000000    0.9381      1   1.039484  -0.752093    0.216881    0.000000   
          CYCLOPRO        4       3    0.443525  -0.224148    0.057030    0.000000    0.9733      0   0.000000   0.000000    0.000000    0.000000   
                D2      767       1   -0.244549   1.192698   -0.572587    0.000000    1.1307      1  -0.196892   0.910275   -0.420870    0.000000   
               D2O      595       8    0.282897  -0.161640    0.045108    0.000000    1.0169      1   0.282518  -0.155873    0.042374    0.000000   
                D4       46       6    0.202818  -0.066843    0.012198    0.000000    0.8007      1   0.373869  -0.165413    0.036086    0.000000   
                D5       62       6    0.202818  -0.066843    0.012198    0.000000    0.7954      1   0.353767  -0.145352    0.030137    0.000000   
                D6        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
