          Material   DataN    GroupN    n1_glb     n2_glb      n3_glb      n4_glb      xita   ind_fit    n1_ind     n2_ind      n3_ind      n4_ind
       13BUTADIENE       63       2    0.437397  -0.191870    0.052136    0.000000    1.2538      1   0.303549  -0.144185    0.042871    0.000000   
           1BUTENE       55       5    0.287056  -0.118651    0.026449    0.000000    0.8401      1   0.466972  -0.248694    0.064012    0.000000   
           1BUTYNE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          1PENTENE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
  22DIMETHYLBUTANE       64       3    0.381623  -0.172539    0.042858    0.000000    0.9737      1   0.662902  -0.423445    0.119421    0.000000   
  23DIMETHYLBUTANE      128       3    0.381623  -0.172539    0.042858    0.000000    1.0252      1   0.302512  -0.105234    0.022373    0.000000   
    3METHYLPENTANE      143       5    0.287056  -0.118651    0.026449    0.000000    0.8796      1   0.637464  -0.407758    0.112176    0.000000   
           ACETONE      191       4    0.292685  -0.131640    0.032587    0.000000    0.9303      1   0.437403  -0.234205    0.060327    0.000000   
         ACETYLENE      234       3    0.381623  -0.172539    0.042858    0.000000    0.9670      0   0.000000   0.000000    0.000000    0.000000   
           AMMONIA      408       7    0.303733  -0.126249    0.029786    0.000000    1.0161      1   0.352106  -0.203625    0.060722    0.000000   
             ARGON      783       2    0.437397  -0.191870    0.052136    0.000000    0.9573      1   0.557930  -0.392780    0.149425    0.000000   
           BENZENE     1274       4    0.292685  -0.131640    0.032587    0.000000    0.8205      1   0.302654  -0.121213    0.032098    0.000000   
            BUTANE      670       3    0.381623  -0.172539    0.042858    0.000000    1.0383      1   0.335347  -0.130167    0.028959    0.000000   
               C11      203       5    0.287056  -0.118651    0.026449    0.000000    1.0550      1   0.277500  -0.113525    0.024704    0.000000   
               C12      312       5    0.287056  -0.118651    0.026449    0.000000    1.0905      1   0.292337  -0.124518    0.027268    0.000000   
               C16      198       5    0.287056  -0.118651    0.026449    0.000000    1.2597      1   0.210756  -0.074522    0.014477    0.000000   
             C1CC6      156       3    0.381623  -0.172539    0.042858    0.000000    0.9656      1   0.524931  -0.293851    0.079337    0.000000   
               C22       36       6    0.226702  -0.080159    0.015229    0.000000    1.1842      1   0.144154  -0.039921    0.006482    0.000000   
          C2BUTENE       31       5    0.287056  -0.118651    0.026449    0.000000    0.8243      1   0.571938  -0.338849    0.091006    0.000000   
             C3CC6        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C4F10        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C5F12       16       5    0.287056  -0.118651    0.026449    0.000000    0.8898      1   0.386235  -0.174069    0.040039    0.000000   
             C6F14       42       5    0.287056  -0.118651    0.026449    0.000000    0.8947      1   0.427220  -0.214294    0.052368    0.000000   
              CF3I       18       3    0.381623  -0.172539    0.042858    0.000000    0.9304      1   0.702117  -0.485324    0.146013    0.000000   
          CHLORINE       96       3    0.381623  -0.172539    0.042858    0.000000    0.8539      0   0.000000   0.000000    0.000000    0.000000   
     CHLOROBENZENE      267       4    0.292685  -0.131640    0.032587    0.000000    0.9216      1   0.295597  -0.118337    0.027870    0.000000   
                CO       78       2    0.437397  -0.191870    0.052136    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               CO2      400       3    0.381623  -0.172539    0.042858    0.000000    1.0226      1   0.399571  -0.235095    0.073824    0.000000   
               COS        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
       CYCLOBUTENE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          CYCLOHEX      632       3    0.381623  -0.172539    0.042858    0.000000    0.8855      1   0.798334  -0.560529    0.168045    0.000000   
          CYCLOPEN      238       3    0.381623  -0.172539    0.042858    0.000000    0.9626      1   0.319644  -0.103111    0.020536    0.000000   
          CYCLOPRO        4       3    0.381623  -0.172539    0.042858    0.000000    0.9646      0   0.000000   0.000000    0.000000    0.000000   
                D2      544       1    0.498381  -0.499270    0.331230    0.000000    1.0473      1   0.520845  -0.707173    0.468356    0.000000   
               D2O      431       8    0.372353  -0.271478    0.085435    0.000000    1.0106      1   0.374504  -0.269183    0.083716    0.000000   
                D4       45       6    0.226702  -0.080159    0.015229    0.000000    0.8006      1   0.315296  -0.127404    0.027038    0.000000   
                D5       62       6    0.226702  -0.080159    0.015229    0.000000    0.7901      1   0.337097  -0.136841    0.028682    0.000000   
                D6        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               DEA       64       7    0.303733  -0.126249    0.029786    0.000000    1.4066      1   0.236765  -0.099545    0.021300    0.000000   
            DECANE      567       5    0.287056  -0.118651    0.026449    0.000000    1.0158      1   0.318891  -0.142390    0.032563    0.000000   
               DEE      124       3    0.381623  -0.172539    0.042858    0.000000    1.1447      1   0.289507  -0.111088    0.024231    0.000000   
               DMC      148       3    0.381623  -0.172539    0.042858    0.000000    1.1864      1   0.405188  -0.217864    0.056243    0.000000   
               DME      229       3    0.381623  -0.172539    0.042858    0.000000    1.0724      1   0.415235  -0.237315    0.067905    0.000000   
          EBENZENE      461       4    0.292685  -0.131640    0.032587    0.000000    0.9554      1   0.387923  -0.199262    0.050956    0.000000   
           EGLYCOL      214       7    0.303733  -0.126249    0.029786    0.000000    1.1054      1   0.419466  -0.224201    0.055292    0.000000   
            ETHANE     1891       3    0.381623  -0.172539    0.042858    0.000000    0.9697      1   0.409046  -0.187392    0.046502    0.000000   
           ETHANOL      882       7    0.303733  -0.126249    0.029786    0.000000    1.1731      1   0.164312  -0.040606    0.007293    0.000000   
          ETHYLENE      115       3    0.381623  -0.172539    0.042858    0.000000    0.9352      1   0.359269  -0.140788    0.033429    0.000000   
     ETHYLENEOXIDE       53       3    0.381623  -0.172539    0.042858    0.000000    0.7656      1   1.064437  -0.945879    0.336209    0.000000   
          FLUORINE      924       2    0.437397  -0.191870    0.052136    0.000000    1.0387      1   0.460402  -0.226392    0.062949    0.000000   
               H2S      161       7    0.303733  -0.126249    0.029786    0.000000    0.7909      1   1.500437  -1.422298    0.481893    0.000000   
               HCL       92       7    0.303733  -0.126249    0.029786    0.000000    0.8071      1   0.235061  -0.014163   -0.005843    0.000000   
            HELIUM      375       1    0.498381  -0.499270    0.331230    0.000000    0.9921      0   0.000000   0.000000    0.000000    0.000000   
           HEPTANE     1129       5    0.287056  -0.118651    0.026449    0.000000    0.9312      1   0.337760  -0.151551    0.035577    0.000000   
            HEXANE      848       5    0.287056  -0.118651    0.026449    0.000000    0.8987      1   0.353980  -0.159181    0.037501    0.000000   
          HYDROGEN      938       1    0.498381  -0.499270    0.331230    0.000000    1.0844      1   0.482367  -0.478622    0.289512    0.000000   
           IBUTENE       81       3    0.381623  -0.172539    0.042858    0.000000    1.0128      1   0.432560  -0.223481    0.058607    0.000000   
           IHEXANE      185       5    0.287056  -0.118651    0.026449    0.000000    0.8839      1   0.402193  -0.193679    0.046628    0.000000   
           IOCTANE      179       5    0.287056  -0.118651    0.026449    0.000000    0.8519      1   0.448909  -0.229589    0.057314    0.000000   
          IPENTANE      137       3    0.381623  -0.172539    0.042858    0.000000    1.0302      1   0.377390  -0.168651    0.040824    0.000000   
          ISOBUTAN      344       3    0.381623  -0.172539    0.042858    0.000000    0.9656      1   0.412656  -0.189113    0.047106    0.000000   
           KRYPTON      192       2    0.437397  -0.191870    0.052136    0.000000    0.9823      1   0.522235  -0.320054    0.109701    0.000000   
              MD2M        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              MD3M        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              MD4M        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               MDM       20       6    0.226702  -0.080159    0.015229    0.000000    0.8455      1   0.220370  -0.061092    0.009563    0.000000   
               MEA      104       7    0.303733  -0.126249    0.029786    0.000000    1.0793      1   0.460778  -0.249821    0.061785    0.000000   
           METHANE     1131       2    0.437397  -0.191870    0.052136    0.000000    1.0347      1   0.439745  -0.221989    0.066469    0.000000   
          METHANOL      667       7    0.303733  -0.126249    0.029786    0.000000    1.1542      1   0.182292  -0.057067    0.012456    0.000000   
       MILPRF23699        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          MLINOLEA       22       6    0.226702  -0.080159    0.015229    0.000000    1.0971      1   0.246494  -0.092402    0.017649    0.000000   
          MLINOLEN       54       6    0.226702  -0.080159    0.015229    0.000000    1.4718      1   0.162278  -0.050491    0.008372    0.000000   
                MM       18       6    0.226702  -0.080159    0.015229    0.000000    0.7893      1   0.722232  -0.425021    0.106088    0.000000   
           MOLEATE       54       6    0.226702  -0.080159    0.015229    0.000000    1.1109      1   0.249621  -0.094005    0.017925    0.000000   
          MPALMITA       26       6    0.226702  -0.080159    0.015229    0.000000    1.1139      1   0.338706  -0.137154    0.026599    0.000000   
          MSTEARAT       16       6    0.226702  -0.080159    0.015229    0.000000    1.2144      1   0.033176   0.007906   -0.002443    0.000000   
           MXYLENE      479       4    0.292685  -0.131640    0.032587    0.000000    0.9991      1   0.273259  -0.107015    0.024040    0.000000   
               N2O      810       2    0.437397  -0.191870    0.052136    0.000000    1.1521      1   0.121313   0.185932   -0.079740    0.000000   
              NEON       92       2    0.437397  -0.191870    0.052136    0.000000    0.8411      1   0.346183   0.369459   -0.304652    0.000000   
          NEOPENTN      141       3    0.381623  -0.172539    0.042858    0.000000    0.8933      1   0.477928  -0.269811    0.081158    0.000000   
               NF3      156       3    0.381623  -0.172539    0.042858    0.000000    0.8253      0   0.000000   0.000000    0.000000    0.000000   
          NITROGEN     1602       2    0.437397  -0.191870    0.052136    0.000000    0.9988      1   0.454288  -0.242683    0.077855    0.000000   
            NONANE      231       5    0.287056  -0.118651    0.026449    0.000000    0.9905      1   0.354866  -0.165503    0.038482    0.000000   
          NOVEC649        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
            OCTANE      769       5    0.287056  -0.118651    0.026449    0.000000    0.9624      1   0.307153  -0.131893    0.030307    0.000000   
          ORTHOHYD        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
            OXYGEN      118       2    0.437397  -0.191870    0.052136    0.000000    0.6260      0   0.000000   0.000000    0.000000    0.000000   
           OXYLENE      380       4    0.292685  -0.131640    0.032587    0.000000    0.9641      1   0.346482  -0.160709    0.039026    0.000000   
           PARAHYD        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
           PENTANE     1156       3    0.381623  -0.172539    0.042858    0.000000    1.0752      1   0.399521  -0.190792    0.046184    0.000000   
              POE5        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              POE7        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              POE9        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
        PROPADIENE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
           PROPANE     1537       3    0.381623  -0.172539    0.042858    0.000000    0.9992      1   0.389990  -0.176497    0.043544    0.000000   
          PROPYLEN      214       4    0.292685  -0.131640    0.032587    0.000000    0.8327      1   0.525657  -0.304883    0.083101    0.000000   
    PROPYLENEOXIDE       23       3    0.381623  -0.172539    0.042858    0.000000    1.0542      1   0.501241  -0.286535    0.076858    0.000000   
           PROPYNE       11       3    0.381623  -0.172539    0.042858    0.000000    1.0161      0   0.000000   0.000000    0.000000    0.000000   
           PXYLENE      350       4    0.292685  -0.131640    0.032587    0.000000    0.9890      1   0.386496  -0.200075    0.050817    0.000000   
               R11      290       3    0.381623  -0.172539    0.042858    0.000000    0.9672      1   0.381785  -0.164155    0.039840    0.000000   
             R1123        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              R113      248       3    0.381623  -0.172539    0.042858    0.000000    0.9546      1   0.423596  -0.202663    0.052157    0.000000   
              R114      200       3    0.381623  -0.172539    0.042858    0.000000    0.9713      1   0.395823  -0.177935    0.044103    0.000000   
              R115      248       3    0.381623  -0.172539    0.042858    0.000000    0.9442      1   0.310925  -0.105016    0.023956    0.000000   
              R116      181       3    0.381623  -0.172539    0.042858    0.000000    1.1660      0   0.000000   0.000000    0.000000    0.000000   
               R12      422       3    0.381623  -0.172539    0.042858    0.000000    0.9778      1   0.369004  -0.157962    0.038981    0.000000   
             R1216        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          R1224YDZ      108       3    0.381623  -0.172539    0.042858    0.000000    1.1139      1   0.240078  -0.063086    0.009947    0.000000   
              R123      168       3    0.381623  -0.172539    0.042858    0.000000    1.0279      1   0.369694  -0.164940    0.040309    0.000000   
          R1233ZDE       92       3    0.381623  -0.172539    0.042858    0.000000    1.1150      1   0.360765  -0.169215    0.041396    0.000000   
           R1234YF      168       3    0.381623  -0.172539    0.042858    0.000000    1.0655      1   0.340352  -0.147312    0.035425    0.000000   
          R1234ZEE      190       3    0.381623  -0.172539    0.042858    0.000000    1.0873      1   0.376150  -0.195005    0.052636    0.000000   
          R1234ZEZ        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
              R124      201       3    0.381623  -0.172539    0.042858    0.000000    1.0251      1   0.381097  -0.177942    0.044681    0.000000   
