          Material   DataN    GroupN    n1_glb     n2_glb      n3_glb      n4_glb      xita   ind_fit    n1_ind     n2_ind      n3_ind      n4_ind
       13BUTADIENE       63       2    0.423786  -0.178493    0.048266    0.000000    1.2582      1   0.303549  -0.144185    0.042871    0.000000   
           1BUTENE       55       5    0.283141  -0.116541    0.026040    0.000000    0.8390      1   0.466972  -0.248694    0.064012    0.000000   
           1BUTYNE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          1PENTENE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
  22DIMETHYLBUTANE       80       3    0.392170  -0.183215    0.046340    0.000000    0.9170      1   1.232257  -0.986849    0.300997    0.000000   
  23DIMETHYLBUTANE      131       3    0.392170  -0.183215    0.046340    0.000000    1.0239      1   0.353344  -0.155532    0.038571    0.000000   
    3METHYLPENTANE      146       5    0.283141  -0.116541    0.026040    0.000000    0.8780      1   0.691225  -0.457776    0.127675    0.000000   
           ACETONE      227       4    0.291217  -0.131210    0.032671    0.000000    0.9289      1   0.419686  -0.219194    0.056083    0.000000   
         ACETYLENE      234       3    0.392170  -0.183215    0.046340    0.000000    0.9673      0   0.000000   0.000000    0.000000    0.000000   
           AMMONIA      408       7    0.298874  -0.123413    0.028991    0.000000    1.0076      1   0.352106  -0.203625    0.060722    0.000000   
             ARGON      876       2    0.423786  -0.178493    0.048266    0.000000    0.9491      1   0.555128  -0.391252    0.147978    0.000000   
           BENZENE     1354       4    0.291217  -0.131210    0.032671    0.000000    0.8198      1   0.338125  -0.161174    0.045938    0.000000   
            BUTANE      715       3    0.392170  -0.183215    0.046340    0.000000    1.0404      1   0.331942  -0.127223    0.028103    0.000000   
               C11      205       5    0.283141  -0.116541    0.026040    0.000000    1.0566      1   0.280002  -0.115440    0.025223    0.000000   
               C12      400       5    0.283141  -0.116541    0.026040    0.000000    1.0829      1   0.392170  -0.191621    0.044060    0.000000   
               C16      206       5    0.283141  -0.116541    0.026040    0.000000    1.2623      1   0.204659  -0.070980    0.013683    0.000000   
             C1CC6      195       3    0.392170  -0.183215    0.046340    0.000000    0.9517      1   0.673249  -0.436896    0.124665    0.000000   
               C22       36       6    0.198465  -0.065607    0.012162    0.000000    1.1774      1   0.144154  -0.039921    0.006482    0.000000   
          C2BUTENE       31       5    0.283141  -0.116541    0.026040    0.000000    0.8238      1   0.571938  -0.338849    0.091006    0.000000   
             C3CC6        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C4F10        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
             C5F12       17       5    0.283141  -0.116541    0.026040    0.000000    0.8881      1   0.341925  -0.139474    0.030669    0.000000   
             C6F14       42       5    0.283141  -0.116541    0.026040    0.000000    0.8958      1   0.427220  -0.214293    0.052367    0.000000   
              CF3I       18       3    0.392170  -0.183215    0.046340    0.000000    0.9303      1   0.702117  -0.485324    0.146013    0.000000   
          CHLORINE       96       3    0.392170  -0.183215    0.046340    0.000000    0.8539      0   0.000000   0.000000    0.000000    0.000000   
     CHLOROBENZENE      267       4    0.291217  -0.131210    0.032671    0.000000    0.9245      1   0.295598  -0.118337    0.027870    0.000000   
                CO       78       2    0.423786  -0.178493    0.048266    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               CO2      467       3    0.392170  -0.183215    0.046340    0.000000    1.0267      1   0.403503  -0.237888    0.074216    0.000000   
               COS        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
       CYCLOBUTENE        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
          CYCLOHEX      671       3    0.392170  -0.183215    0.046340    0.000000    0.8841      1   0.851964  -0.615789    0.186285    0.000000   
          CYCLOPEN      330       3    0.392170  -0.183215    0.046340    0.000000    0.9397      1   1.099520  -0.817819    0.239967    0.000000   
          CYCLOPRO        4       3    0.392170  -0.183215    0.046340    0.000000    0.9654      0   0.000000   0.000000    0.000000    0.000000   
                D2      715       1    0.297541  -0.127953    0.151710    0.000000    1.0615      1   0.443091  -0.618313    0.441803    0.000000   
               D2O      602       8    0.296396  -0.198666    0.062745    0.000000    1.0133      1   0.291820  -0.188709    0.058471    0.000000   
                D4       45       6    0.198465  -0.065607    0.012162    0.000000    0.7948      1   0.315295  -0.127404    0.027038    0.000000   
                D5       62       6    0.198465  -0.065607    0.012162    0.000000    0.7853      1   0.337097  -0.136841    0.028682    0.000000   
                D6        0       0    0.000000   0.000000    0.000000    0.000000    1.0000      0   0.000000   0.000000    0.000000    0.000000   
               DEA       64       7    0.298874  -0.123413    0.028991    0.000000    1.3939      1   0.236765  -0.099545    0.021300    0.000000   
