T[K]	p[Pa]	rho[kg/m3]
273.84	100000	980.22
274.06	100000	980.07
274.07	100000	980.08
274.35	100000	979.86
282.95	100000	973.75
298.25	100000	962.88
298.28	100000	962.83
305.26	100000	957.83
313.27	100000	952.21
313.27	100000	952.15
333.28	100000	937.93
353.29	100000	923.76
373.29	100000	909.62
393.31	100000	895.47
413.33	100000	881.29
293.15	100000	966.5
323.15	100000	945.2
353.15	100000	923.9
383.15	100000	902.6
413.15	100000	881.4
293.15	20000000	977.4
323.15	20000000	957.5
353.15	20000000	937.8
383.15	20000000	918.5
413.15	20000000	899.4
293.15	40000000	987.2
323.15	40000000	968.4
353.15	40000000	950
383.15	40000000	932
413.15	40000000	914.3
293.15	60000000	996.1
323.15	60000000	978.2
353.15	60000000	960.8
383.15	60000000	943.8
413.15	60000000	927.2
293.15	80000000	1004.3
323.15	80000000	987.2
353.15	80000000	970.6
383.15	80000000	954.3
413.15	80000000	938.6
293.15	100000000	1011.9
323.15	100000000	995.5
353.15	100000000	979.5
383.15	100000000	964
413.15	100000000	948.9
293.15	120000000	1019.1
323.15	120000000	1003.2
353.15	120000000	987.8
383.15	120000000	972.8
413.15	120000000	958.3
293.15	140000000	1025.8
323.15	140000000	1010.4
353.15	140000000	995.5
383.15	140000000	981
413.15	140000000	967
