T(K)	P(MPa)	Density (kg/m3)
273.84	0.1	980.22
274.06	0.1	980.07
274.07	0.1	980.08
274.35	0.1	979.86
282.95	0.1	973.75
298.25	0.1	962.88
298.28	0.1	962.83
305.26	0.1	957.83
313.27	0.1	952.21
313.27	0.1	952.15
333.28	0.1	937.93
353.29	0.1	923.76
373.29	0.1	909.62
393.31	0.1	895.47
413.33	0.1	881.29
293.15	0.1	966.5
323.15	0.1	945.2
353.15	0.1	923.9
383.15	0.1	902.6
413.15	0.1	881.4
293.15	20	977.4
323.15	20	957.5
353.15	20	937.8
383.15	20	918.5
413.15	20	899.4
293.15	40	987.2
323.15	40	968.4
353.15	40	950
383.15	40	932
413.15	40	914.3
293.15	60	996.1
323.15	60	978.2
353.15	60	960.8
383.15	60	943.8
413.15	60	927.2
293.15	80	1004.3
323.15	80	987.2
353.15	80	970.6
383.15	80	954.3
413.15	80	938.6
293.15	100	1011.9
323.15	100	995.5
353.15	100	979.5
383.15	100	964
413.15	100	948.9
293.15	120	1019.1
323.15	120	1003.2
353.15	120	987.8
383.15	120	972.8
413.15	120	958.3
293.15	140	1025.8
323.15	140	1010.4
353.15	140	995.5
383.15	140	981
413.15	140	967
