molefrac_oil   p/MPa    T/K    den_exp den_calc  vis_exp/mPas    vis_calc
    1.0000  288.0000    0.1000    0.0000  964.4761  179.7515    179.2299
    1.0000  294.6670    0.1000    0.0000  960.5003  111.1710    111.9584
    1.0000  301.3330    0.1000    0.0000  956.5211   72.4406     72.4710
    1.0000  308.0000    0.1000    0.0000  952.5358   49.3332     48.4466
    0.7930  313.0200   24.2800  961.2900  963.4047   43.9960     89.2667
    0.7930  342.6400   72.2500  971.7100  973.9771   31.0050     69.4928
    0.7930  342.6600   79.6100  975.1300  976.4266   34.5430     78.2579
    0.7930  342.5900    7.0800  929.7600  929.9184   11.3300     15.4690
    0.7930  342.6600   19.8500  943.0600  944.2262   13.8990     22.9162
    0.7930  342.6400   39.6000  954.7100  959.0079   18.8450     37.3297
    0.7930  342.6500   59.6300  970.6200  969.1062   25.7630     55.7262
    0.7930  372.2000   37.4500  939.4200  944.6904    7.7950     13.7079
    0.7930  372.2100   40.0800  941.2700  946.5778    8.0840     14.4638
    0.7930  372.2200   60.0100  954.7700  958.1911   10.3270     20.8383
    0.7930  372.2200   79.4300  966.3200  966.3536   13.2590     28.1597
    0.7930  372.2300   19.9300  924.0200  928.7074    6.1030      9.1048
    0.5890  313.0100   37.8200  976.6400  967.3894   45.6000     24.0924
    0.5890  313.0200   40.0200  974.3700  968.8681   47.1000     25.1378
    0.5890  313.0200   59.8400  984.2600  979.9290   67.3000     35.6037
    0.5890  313.0000   79.7600  993.2400  988.1145   95.0000     48.0136
    0.5890  313.0000   19.9500  963.2500  952.4558   31.8000     16.3060
    0.5890  342.6400   31.8800  950.6000  946.0934   12.8000      9.2900
    0.5890  342.6400   40.1400  955.4200  953.1866   14.5000     10.8692
    0.5890  342.6500   59.9700  966.3500  966.2440   19.4000     15.0501
    0.5890  342.6600   79.9700  976.2600  975.7792   25.4000     19.8512
    0.5890  342.6400   17.3300  941.3000  929.7250   10.3000      6.7315
    0.5890  372.2000   24.5800  927.0700  920.6227    5.4000      4.1961
    0.5890  372.2400   39.9000  937.4700  937.7332    6.6000      5.6290
    0.5890  372.2300   59.8500  949.4400  953.1347    8.4000      7.6853
    0.5890  372.2100   79.9800  960.2600  964.1952   10.7000      9.9874
    0.5890  298.2500   48.6100  988.3300  985.5846  127.6000     57.9295
    0.3900  313.0000   79.5000  997.4400  989.6120   36.1200      5.5057
    0.3900  313.0000   63.0000  989.4200  980.1951   28.1900      4.6167
    0.3900  312.9900   51.6400  983.3300  972.2145   23.2800      4.0301
    0.3900  312.9900   19.5000  964.6900  937.5232   14.4600      2.4638
    0.3900  313.0200   39.8700  977.1800  962.0923   19.5800      3.4394
    0.3900  342.5900   52.0300  964.1200  954.3040    8.9800      2.4829
    0.3900  342.6200   60.0500  968.8500  961.0734    9.9400      2.7283
    0.3900  342.6400   79.7600  979.3400  974.4787   12.5800      3.3497
    0.3900  342.6200   41.0700  957.3100  943.2360    7.8600      2.1503
    0.3900  342.6300   20.0100  943.1900  912.6554    5.9400      1.5246
    0.3900  342.6500   58.4500  967.3700  959.7753    9.1500      2.6776
    0.3900  372.1900   31.3000  931.2500  909.0208    3.6300      1.2505
    0.3900  372.2200   39.9500  937.5700  922.0705    4.0100      1.4246
    0.3900  372.2200   59.8600  950.6800  944.2973    5.0100      1.8276
    0.3900  372.2500   79.6700  962.2100  959.8610    6.3900      2.2351
    0.3900  372.2100   20.0200  922.1000  886.6526    3.2500      1.0206
    0.3900  372.1900   31.7800  930.1500  909.8221    3.7700      1.2602
    0.3900  342.6500   58.4500  967.3700  959.7753    9.1500      2.6776
    0.3900  313.0000   38.1300  975.5100  960.4118   19.2200      3.3553
    0.1900  313.0000   68.0900 1004.8200  984.2624    4.6330      0.6935
    0.1900  313.0100   79.9100 1012.3200  995.3818    5.0970      0.7578
    0.1900  312.9700   31.5900  977.4100  931.7108    3.1020      0.4838
    0.1900  313.0000   39.9300  984.4600  947.2825    3.3530      0.5338
    0.1900  313.0300   59.8000  998.5500  975.1701    4.0690      0.6474
    0.1900  342.6400   80.0300  988.3700  973.0316    2.6710      0.5876
    0.1900  342.6200   72.2100  983.1800  964.7018    2.5380      0.5543
    0.1900  342.6100   40.9700  958.8100  917.7850    1.8250      0.4138
    0.1900  342.6300   19.7900  938.1900  859.8208    1.5490      0.3056
    0.1900  342.6900   59.7500  974.2200  949.0568    2.2180      0.4996
    0.1900  372.2100   71.4000  960.6900  940.4756    1.5720      0.4431
    0.1900  372.2300   80.0000  967.1600  951.1011    1.5850      0.4731
    0.1900  372.1900   19.8300  909.0300  815.2170    1.0430      0.2371
    0.1900  372.2300   40.0400  933.0400  884.1679    1.0720      0.3256
    0.1900  373.0700   59.9700  951.7200  923.0730    1.2580      0.3995
    0.1900  372.2100   24.2700  918.0700  834.7484    1.0480      0.2581
