x[wt% oil]	T[K]	p[Pa]
11.2738295	293.6159448	122865.4784
11.33848258	312.8251141	224898.5253
11.4419122	332.9710364	394495.6793
11.5983273	352.8130042	648526.3184
11.84143625	372.8141217	1015997.142
12.00430584	382.8919849	1248224.526
11.70994398	362.7681498	818077.0109
11.3017655	302.8225847	167002.307
11.38198011	323.1	301000
11.51223298	342.87	512100
11.27347033	292.6030905	121901.1093
11.25164762	282.6026134	87189.42996
42.68128014	293.7987761	87426.35273
42.81998732	312.9636072	175747.2949
43.0322534	333.4089913	318107.8487
43.35781018	353.3085664	524258.6974
43.80159412	373.5216956	806063.9252
44.13137499	383.7728483	995839.3621
43.59635549	363.5065106	655681.4982
42.74145839	302.7127259	115452.8265
42.88853061	322.78	209400
43.19356616	343.32	402900
42.69605902	292.6135215	87798.21036
42.64508238	282.6589441	60067.69291
51.34572051	293.5790777	79344.19675
51.49472282	312.771584	151701.2727
51.76618413	333.0111098	275784.6916
52.16552229	352.8925201	470544.4758
52.70624484	372.9393436	737369.8911
53.00636217	383.014494	889054.1775
52.41622054	362.8687564	596127.4621
51.45526547	302.6817716	124368.773
51.69458513	322.52	235100
51.94588464	342.91	364500
51.36270306	292.4125306	83040.77008
51.30534785	282.3951433	57659.27742
4.696692315	312.8630964	219764.4721
4.747427584	332.9368195	393511.0834
4.665168505	292.9368861	114297.6232
4.827364307	353.4725042	662541.9092
4.947157473	373.4791603	1040072.033
5.033811655	383.5704849	1282336.897
4.879497101	363.1665975	831090.5372
4.6658147	293.3823913	116638.3881
4.782831024	343.2992608	516793.786
4.719468475	323.0074496	299175.2364
4.678614223	302.6777459	159777.5527
4.654474253	282.4594651	79585.57334
80.15142808	312.7202462	53719.84101
80.40622398	332.3938027	115440.7535
80.07945086	292.8718771	35149.90345
80.85257478	352.3206934	228152.4708
81.23148887	371.8472753	333706.4227
81.50310065	381.7122926	405515.7005
81.07797855	362.1716897	283661.0921
80.11960412	293.3130136	42435.77344
80.65912909	342.6398108	174015.0446
80.39688025	322.6879431	106450.4953
80.18978987	302.7734593	57954.79822
80.0578494	282.8849649	29255.92434
19.64187432	313.07765	195914.5579
19.81049036	333.0760825	352771.6
19.53428891	293.1340097	99890.33091
20.09274996	353.3840049	595009.4515
20.55620441	373.2693314	962406.6853
20.87174309	383.2826267	1184859.533
20.32093469	363.1910551	772380.6192
19.54781514	293.5846891	105684.4397
19.97964639	343.3967607	479526.1135
19.74718465	323.2008528	276794.6309
19.59699152	303.035267	146992.6398
19.50627311	282.7813355	71240.07268
38.84276219	312.8218501	178659.6676
39.19157097	332.8500771	321752.5
38.64296485	292.8985393	91129.98621
39.69874563	353.1791935	537666.6998
40.46248621	373.0867954	845769.6983
40.97637284	383.1063983	1039732.308
40.06594642	362.9660328	685870.0114
38.64647346	293.3585524	92539.18519
39.42820736	343.1734029	422482.8271
39.01307877	322.9815722	244660.2761
38.73476123	302.7149571	128717.3528
38.57016388	282.4546463	61785.92947
55.71583906	293.36	97900
55.95954991	312.85	168900
56.35718174	333.14	287700
56.93448013	353.11	462400
57.77870126	373.29	715200
58.23351452	383.49	857900
57.36245807	363.08	590700
55.71577857	292.5420562	97050.294
56.65572355	342.8763493	377190.9802
56.14908311	322.8750384	224277.2823
55.83272737	302.5373044	130454.6833
55.63354982	282.3842786	73642.99116
83.70629428	293.31	30900
83.82706482	312.76	57800
84.01982175	332.93	103000
84.37214863	352.79	189300
84.78858427	372.75	300000
85.02124319	382.65	365900
84.61445796	362.7	251900
83.72157486	292.5701782	34081.37788
84.2499373	342.6379915	157568.5192
83.96054738	322.7599629	87965.68893
83.79040829	302.5946981	48815.67783
83.67533563	282.439515	24373.0419
69.08055686	292.7870426	34707.27643
69.26520457	312.7882589	69265.07339
69.82291926	332.8736865	172660.8854
70.41936544	353.0620541	290856.2155
71.35259983	373.3553284	477339.8829
71.80645075	383.0700928	572809.88
70.94464178	363.0223585	393785.2193
70.22442153	342.8417007	248574.5569
69.20587145	292.6847567	54769.7386
69.67487093	322.8566215	142045.3416
69.3302237	302.5766614	77196.77316
69.10909691	282.266259	37784.06373


