T(K)	P(Pa)	Density (kg/m3)
283.159	1000	972.16
283.194	1002000	972.69
283.184	2496000	973.56
283.187	4994000	974.99
283.191	7497000	976.4
283.167	9993000	977.79
283.169	12496000	979.16
283.169	15001000	980.51
298.191	1000	964.73
298.186	997000	965.29
298.186	2503000	966.23
298.189	4999000	967.76
298.191	7502000	969.27
298.188	10000000	970.75
298.189	12497000	972.22
298.19	14998000	973.65
323.172	1000	952.13
323.178	1004000	952.77
323.186	2505000	953.82
323.186	5008000	955.55
323.182	7505000	957.24
323.182	10003000	958.91
323.186	12497000	960.54
323.192	14985000	962.15
