T(K)	P(Pa)	Cp (J/k∙K)
283.159	1000	1.8485
283.194	1002000	1.8483
283.184	2496000	1.8479
283.187	4994000	1.8474
283.191	7497000	1.8469
283.167	9993000	1.8465
283.169	12496000	1.846
283.169	15001000	1.8456
298.191	1000	1.8799
298.186	997000	1.8796
298.186	2503000	1.8792
298.189	4999000	1.8785
298.191	7502000	1.8779
298.188	10000000	1.8773
298.189	12497000	1.8767
298.19	14998000	1.8762
323.172	1000	1.9337
323.178	1004000	1.9333
323.186	2505000	1.9327
323.186	5008000	1.9317
323.182	7505000	1.9307
323.182	10003000	1.9298
323.186	12497000	1.929
323.192	14985000	1.9282
