T [K]	p [Pa]	eta [mPa s]
278.636	518322.6	430.5415
278.655	996458.1	434.1344
278.643	2005374.5	443.2769
278.651	2988279	451.9645
288.474	559389.3	230.0955
288.472	1029420.1	232.1753
288.478	1997495.8	236.4926
288.487	3005805.3	240.9932
298.71	585138.7	130.3075
298.724	1088201.3	131.4105
298.745	2087417.9	133.6864
298.743	3003835.6	135.8088
313.682	311095.1	64.2186
313.7	1002188.2	64.9151
313.688	2004132.1	66.0894
313.679	3055831.3	67.3642
323.501	712676.9	43.4558
323.493	1261661.1	43.8989
323.497	1759806	44.2541
323.495	2252576.4	44.6197
323.502	2999527.4	45.1569
