T [K]	p [Pa]	cp [J g-1 K-1]
236.23	101350	1.75
241.22	101350	1.76
246.22	101350	1.78
251.21	101350	1.79
256.21	101350	1.8
261.21	101350	1.82
266.2	101350	1.83
271.2	101350	1.84
276.19	101350	1.85
281.19	101350	1.86
286.19	101350	1.87
291.18	101350	1.89
296.18	101350	1.9
301.17	101350	1.91
306.17	101350	1.93
311.16	101350	1.94
316.16	101350	1.95
321.16	101350	1.96
326.15	101350	1.98
331.15	101350	1.99
336.14	101350	2
341.14	101350	2.01
346.13	101350	2.03
351.13	101350	2.04
356.13	101350	2.05
356.13	101350	2.06
