x (corrected)	J	1/T	lg(x(KM))	p (measured)
[wt% oil]	[°C]	[1/K]	[- bzw. lg(%)]	[bar]
89.98	-40.57	0.00430	1.00074	0.7599
90.00	-31.26	0.00413	0.99980	1.0864
90.04	-19.92	0.00395	0.99837	1.6191
90.07	-9.98	0.00380	0.99686	2.2253
90.11	0.01	0.00366	0.99508	2.9835
90.16	10.02	0.00353	0.99305	3.9127
90.21	20.02	0.00341	0.99078	5.0219
90.27	30.07	0.00330	0.98827	6.3331
90.33	40.56	0.00319	0.98546	7.9201
90.39	50.54	0.00309	0.98265	9.6454
90.45	60.55	0.00300	0.97978	11.5826
90.52	70.55	0.00291	0.97689	13.7418
90.58	80.55	0.00283	0.97411	16.1050
90.63	90.55	0.00275	0.97156	18.6692
80.68	-41.04	0.00431	1.28594	0.9881
80.71	-31.84	0.00414	1.28531	1.4236
80.75	-20.00	0.00395	1.28432	2.1641
80.80	-9.99	0.00380	1.28326	3.0093
80.86	-0.01	0.00366	1.28199	4.0705
80.92	9.99	0.00353	1.28049	5.3887
81.00	19.94	0.00341	1.27876	6.9850
81.09	30.05	0.00330	1.27674	8.9201
81.19	40.16	0.00319	1.27445	11.2053
81.30	50.14	0.00309	1.27190	13.8305
81.42	60.05	0.00300	1.26910	16.8098
81.55	70.15	0.00291	1.26595	20.2509
81.70	80.29	0.00283	1.26252	24.1171
81.85	90.08	0.00275	1.25895	28.2684
70.80	-31.76	0.00414	1.46535	1.5437
70.84	-20.01	0.00395	1.46485	2.3686
70.87	-9.99	0.00380	1.46434	3.3117
70.91	0.01	0.00366	1.46373	4.5106
70.96	9.99	0.00353	1.46303	6.0042
71.01	19.96	0.00341	1.46225	7.8317
71.07	30.08	0.00330	1.46137	10.0419
71.13	40.18	0.00319	1.46038	12.7169
71.21	50.17	0.00309	1.45930	15.8497
71.28	60.04	0.00300	1.45812	19.4654
71.37	70.07	0.00291	1.45685	23.6708
71.46	80.13	0.00283	1.45547	28.5119
94.38	-39.37	0.00428	0.74953	0.5445
94.40	-29.76	0.00411	0.74848	0.7768
94.41	-19.92	0.00395	0.74716	1.0901
94.43	-9.99	0.00380	0.74559	1.4893
94.46	0.02	0.00366	0.74380	1.9835
94.48	10.02	0.00353	0.74180	2.5767
94.51	19.96	0.00341	0.73963	3.2720
94.54	30.06	0.00330	0.73728	4.0871
94.57	40.55	0.00319	0.73474	5.0502
94.60	50.05	0.00309	0.73239	6.0265
94.63	60.06	0.00300	0.72993	7.1558
94.66	70.06	0.00291	0.72750	8.3890
94.69	80.29	0.00283	0.72512	9.7531
94.72	90.51	0.00275	0.72293	11.2012
