T(K)	P(Pa)	Density (kg/m3)
278.15	100000	972.27
278.15	1000000	972.77
278.15	5000000	975.02
278.15	10000000	977.76
278.15	15000000	980.42
278.15	20000000	983.02
278.15	25000000	985.51
278.15	30000000	987.98
278.15	35000000	990.37
278.15	40000000	992.71
278.15	45000000	995.01
283.15	100000	968.68
283.15	1000000	969.19
283.15	5000000	971.5
283.15	10000000	974.35
283.15	15000000	977.07
283.15	20000000	979.71
283.15	25000000	982.28
283.15	30000000	984.79
283.15	35000000	987.25
283.15	40000000	989.61
283.15	45000000	991.94
293.15	100000	961.67
293.15	1000000	962.21
293.15	5000000	964.61
293.15	10000000	967.554
293.15	15000000	970.4
293.15	20000000	973.14
293.15	25000000	975.81
293.15	30000000	978.43
293.15	35000000	980.96
293.15	40000000	983.44
293.15	45000000	985.85
303.15	100000	954.72
303.15	1000000	955.27
303.15	5000000	957.8
303.15	10000000	960.84
303.15	15000000	963.8
303.15	20000000	966.67
303.15	25000000	969.44
303.15	30000000	972.15
303.15	35000000	974.78
303.15	40000000	977.34
303.15	45000000	979.84
313.15	100000	947.876
313.15	1000000	948.35
313.15	5000000	950.97
313.15	10000000	954.13
313.15	15000000	957.23
313.15	20000000	960.21
313.15	25000000	963.1
313.15	30000000	965.9
313.15	35000000	968.63
313.15	40000000	971.27
313.15	45000000	973.84
323.15	100000	940.45
323.15	1000000	941.24
323.15	5000000	943.86
323.15	10000000	947.2
323.15	15000000	950.44
323.15	20000000	953.54
323.15	25000000	956.57
323.15	30000000	959.48
323.15	35000000	962.31
323.15	40000000	965.07
323.15	45000000	967.75
333.15	100000	933.58
333.15	1000000	934.21
333.15	5000000	937.14
333.15	10000000	940.66
333.15	15000000	944.02
333.15	20000000	947.27
333.15	25000000	950.4
333.15	30000000	953.41
333.15	35000000	956.37
333.15	40000000	959.21
333.15	45000000	961.98
343.15	100000	926.49
343.15	1000000	927.17
343.15	5000000	930.23
343.15	10000000	933.9
343.15	15000000	937.42
343.15	20000000	940.81
343.15	25000000	944.09
343.15	30000000	947.23
343.15	35000000	950.27
343.15	40000000	953.23
343.15	45000000	956.09
353.15	100000	919.46
353.15	1000000	920.14
353.15	5000000	923.34
353.15	10000000	927.19
353.15	15000000	930.84
353.15	20000000	934.38
353.15	25000000	937.77
353.15	30000000	941.06
353.15	35000000	944.19
353.15	40000000	947.27
353.15	45000000	950.24
