T(K)	P(MPa)	vis / mPas
303.15	100000	68.1
303.15	1000000	69.4
303.15	5000000	75.2
303.15	10000000	83.1
303.15	15000000	91.7
303.15	20000000	101.1
303.15	25000000	111.3
303.15	30000000	122.4
303.15	35000000	134.5
303.15	40000000	147.6
303.15	45000000	161.9
303.15	50000000	177.5
303.15	55000000	194.5
303.15	60000000	212.9
313.15	100000	39.4
313.15	1000000	40.3
313.15	5000000	44.2
313.15	10000000	49.3
313.15	15000000	54.8
313.15	20000000	60.6
313.15	25000000	66.8
313.15	30000000	73.5
313.15	35000000	80.5
313.15	40000000	88
313.15	45000000	96
313.15	50000000	104.5
313.15	55000000	113.5
313.15	60000000	123
323.15	100000	25.6
323.15	1000000	26.1
323.15	5000000	28.4
323.15	10000000	31.4
323.15	15000000	34.6
323.15	20000000	38
323.15	25000000	41.7
323.15	30000000	45.7
323.15	35000000	49.9
323.15	40000000	54.4
323.15	45000000	59.2
323.15	50000000	64.3
323.15	55000000	69.7
323.15	60000000	75.6
333.15	100000	17.4
333.15	1000000	17.7
333.15	5000000	19.2
333.15	10000000	21
333.15	15000000	23.1
333.15	20000000	25.2
333.15	25000000	27.5
333.15	30000000	30
333.15	35000000	32.6
333.15	40000000	35.4
333.15	45000000	38.4
333.15	50000000	41.6
333.15	55000000	45
333.15	60000000	48.6
343.15	100000	12.5
343.15	1000000	12.7
343.15	5000000	13.6
343.15	10000000	14.9
343.15	15000000	16.2
343.15	20000000	17.6
343.15	25000000	19.1
343.15	30000000	20.8
343.15	35000000	22.5
343.15	40000000	24.3
343.15	45000000	26.2
343.15	50000000	28.3
343.15	55000000	30.5
343.15	60000000	32.8
353.15	100000	9
353.15	1000000	9.1
353.15	5000000	9.8
353.15	10000000	10.6
353.15	15000000	11.5
353.15	20000000	12.5
353.15	25000000	13.5
353.15	30000000	14.5
353.15	35000000	15.5
353.15	40000000	16.7
353.15	45000000	17.8
353.15	50000000	19
353.15	55000000	20.3
353.15	60000000	21.6
