xPEB8 mole	T(K)	P(MPa)	Density (kg/m3)
0.667	278.15	0.1	977.7
0.667	278.15	1	978.2
0.667	278.15	5	980.5
0.667	278.15	10	983.2
0.667	278.15	15	985.9
0.667	278.15	20	988.5
0.667	278.15	25	991
0.667	278.15	30	993.4
0.667	278.15	35	995.8
0.667	278.15	40	998.2
0.667	278.15	45	1000.5
0.667	283.15	0.1	974
0.667	283.15	1	974.5
0.667	283.15	5	976.8
0.667	283.15	10	979.7
0.667	283.15	15	982.4
0.667	283.15	20	985.1
0.667	283.15	25	987.6
0.667	283.15	30	990.1
0.667	283.15	35	992.6
0.667	283.15	40	995
0.667	283.15	45	997.3
0.667	293.15	0.1	966.8
0.667	293.15	1	967.3
0.667	293.15	5	969.7
0.667	293.15	10	972.6
0.667	293.15	15	975.5
0.667	293.15	20	978.2
0.667	293.15	25	980.9
0.667	293.15	30	983.5
0.667	293.15	35	986.1
0.667	293.15	40	988.6
0.667	293.15	45	991
0.667	303.15	0.1	959.6
0.667	303.15	1	960.2
0.667	303.15	5	962.7
0.667	303.15	10	965.8
0.667	303.15	15	968.7
0.667	303.15	20	971.6
0.667	303.15	25	974.4
0.667	303.15	30	977.1
0.667	303.15	35	979.7
0.667	303.15	40	982.3
0.667	303.15	45	984.8
0.667	313.15	0.1	952.4
0.667	313.15	1	953
0.667	313.15	5	955.7
0.667	313.15	10	958.8
0.667	313.15	15	961.9
0.667	313.15	20	964.9
0.667	313.15	25	967.8
0.667	313.15	30	970.6
0.667	313.15	35	973.3
0.667	313.15	40	976
0.667	313.15	45	978.6
0.667	323.15	0.1	945.1
0.667	323.15	1	945.7
0.667	323.15	5	948.5
0.667	323.15	10	951.8
0.667	323.15	15	955.1
0.667	323.15	20	958.2
0.667	323.15	25	961.2
0.667	323.15	30	964.1
0.667	323.15	35	967
0.667	323.15	40	969.7
0.667	323.15	45	972.4
0.667	333.15	0.1	938
0.667	333.15	1	938.6
0.667	333.15	5	941.6
0.667	333.15	10	945.1
0.667	333.15	15	948.4
0.667	333.15	20	951.7
0.667	333.15	25	954.8
0.667	333.15	30	957.8
0.667	333.15	35	960.8
0.667	333.15	40	963.6
0.667	333.15	45	966.4
0.667	343.15	0.1	930.7
0.667	343.15	1	931.4
0.667	343.15	5	934.4
0.667	343.15	10	938.1
0.667	343.15	15	941.6
0.667	343.15	20	945
0.667	343.15	25	948.3
0.667	343.15	30	951.4
0.667	343.15	35	954.5
0.667	343.15	40	957.5
0.667	343.15	45	960.3
0.667	353.15	0.1	923.7
0.667	353.15	1	924.4
0.667	353.15	5	927.6
0.667	353.15	10	931.4
0.667	353.15	15	935
0.667	353.15	20	938.6
0.667	353.15	25	941.9
0.667	353.15	30	945.2
0.667	353.15	35	948.4
0.667	353.15	40	951.5
0.667	353.15	45	954.4
