xPEB8 mole	T(K)	P(MPa)	vis / mPas
0.667	303.15	0.1	51.7
0.667	303.15	1	52.7
0.667	303.15	5	57.4
0.667	303.15	10	63.7
0.667	303.15	15	70.4
0.667	303.15	20	77.7
0.667	303.15	25	85.5
0.667	303.15	30	94
0.667	303.15	35	103.1
0.667	303.15	40	112.9
0.667	303.15	45	123.5
0.667	303.15	50	135
0.667	303.15	55	147.3
0.667	303.15	60	160.6
0.667	313.15	0.1	32.6
0.667	313.15	1	33.3
0.667	313.15	5	36.1
0.667	313.15	10	39.9
0.667	313.15	15	43.8
0.667	313.15	20	47.8
0.667	313.15	25	52.1
0.667	313.15	30	56.6
0.667	313.15	35	61.2
0.667	313.15	40	66.1
0.667	313.15	45	71.2
0.667	313.15	50	76.5
0.667	313.15	55	82
0.667	313.15	60	87.7
0.667	323.15	0.1	20.7
0.667	323.15	1	21.1
0.667	323.15	5	22.9
0.667	323.15	10	25.2
0.667	323.15	15	27.6
0.667	323.15	20	30.1
0.667	323.15	25	32.7
0.667	323.15	30	35.3
0.667	323.15	35	38.1
0.667	323.15	40	41.1
0.667	323.15	45	44.1
0.667	323.15	50	47.2
0.667	323.15	55	50.4
0.667	323.15	60	53.8
0.667	333.15	0.1	14.2
0.667	333.15	1	14.4
0.667	333.15	5	15.4
0.667	333.15	10	16.7
0.667	333.15	15	18.1
0.667	333.15	20	19.7
0.667	333.15	25	21.4
0.667	333.15	30	23.3
0.667	333.15	35	25.3
0.667	333.15	40	27.6
0.667	333.15	45	30
0.667	333.15	50	32.6
0.667	333.15	55	35.5
0.667	333.15	60	38.7
0.667	343.15	0.1	10.9
0.667	343.15	1	11.1
0.667	343.15	5	11.7
0.667	343.15	10	12.7
0.667	343.15	15	13.7
0.667	343.15	20	14.8
0.667	343.15	25	16
0.667	343.15	30	17.2
0.667	343.15	35	18.6
0.667	343.15	40	20.2
0.667	343.15	45	21.8
0.667	343.15	50	23.6
0.667	343.15	55	25.5
0.667	343.15	60	27.6
0.667	353.15	0.1	7.1
0.667	353.15	1	7.2
0.667	353.15	5	7.7
0.667	353.15	10	8.3
0.667	353.15	15	9.1
0.667	353.15	20	9.8
0.667	353.15	25	10.7
0.667	353.15	30	11.6
0.667	353.15	35	12.5
0.667	353.15	40	13.6
0.667	353.15	45	14.7
0.667	353.15	50	15.9
0.667	353.15	55	17.3
0.667	353.15	60	18.7
