T/K	    P/Pa	η/mPa·s
290.01	19939000	70.87
290.01	29938000	83.96
295.01	247000	39.75
295.03	9927000	47.19
295.03	19934000	55.88
295.02	29944000	65.78
295.02	39968000	76.83
295.03	49996000	89.27
300.04	259000	30.87
300.04	9918000	36.47
300.04	19927000	43.5
300.02	29934000	51.17
300.02	39958000	59.69
300.02	49996000	69.11
300.02	60040000	79.87
300.01	70097000	91.65
305.03	234000	25.66
305.03	9929000	29.94
305.03	19927000	34.96
305.03	29935000	40.98
305.03	39953000	47.92
305.03	49983000	55.31
305.03	60025000	63.75
305.03	70082000	72.91
305.03	80144000	82.91
305.03	90202000	94.13
309.98	246000	21.03
309.99	9917000	24.53
309.99	19921000	28.43
309.99	29931000	32.84
309.99	39947000	38.17
310	49980000	44.15
309.99	60019000	50.72
310	70071000	58.09
310	80111000	66.12
310	90179000	75.26
310.01	100222000	84.96
310.01	110281000	95.79
280.04	266000	86.54
284.96	251000	66.09
284.96	9935000	79.44
315.03	282000	17.84
315.03	9952000	20.65
315.04	19954000	23.91
315.03	29964000	27.54
315.04	39988000	31.46
315.03	50017000	36.08
315.03	60061000	41.4
315.03	70118000	47.36
315.03	80168000	53.78
315.03	90228000	61.17
315.03	100283000	69.02
315.03	110358000	78.01
315.04	120424000	87.38
315.04	130486000	97.66
320.03	262000	15.41
320.03	9935000	17.74
320.03	19928000	20.52
320.03	29941000	23.6
320.03	39959000	26.88
320.03	49982000	30.51
320.04	60030000	34.36
320.04	70070000	38.84
320.04	80122000	44
320.05	90176000	49.83
325.04	263000	12.93
325.05	9942000	14.97
325.05	19944000	17.26
325.05	29954000	19.75
325.06	39979000	22.55
325.06	50001000	25.53
325.06	60043000	28.76
325.06	70099000	32.33
325.05	80154000	36.17
325.04	90219000	40.66
325.04	100281000	45.77
325.05	110355000	51.41
325.04	120430000	57.51
325.03	130502000	63.99
325.03	137543000	68.89
325	331000	13.14
319.99	269000	15.37
320.01	80160000	44.45
320.03	90220000	50.14
320.03	100281000	56.49
320.04	110347000	63.52
320.04	120417000	70.83
320.05	130479000	79.14
320.04	137533000	85.39
329.99	275000	11.09
330	9955000	12.83
330	19958000	14.71
330.01	29961000	16.88
330.01	39977000	19.15
330.01	50017000	21.72
330.01	60064000	24.48
330.01	70110000	27.44
330.02	80158000	30.61
330.03	90216000	34.24
330.03	100280000	37.99
330.03	110341000	42.61
330.03	120413000	47.42
330.03	130485000	52.87
330.03	137529000	56.91
339.96	274000	8.022
339.98	9961000	9.284
339.98	19967000	10.74
339.99	29978000	12.33
340	39993000	14.01
340.01	50023000	15.88
340.02	60068000	17.93
340.02	70113000	20.15
340.02	80176000	22.53
340.02	90233000	25.14
340.02	100290000	27.84
340.03	110362000	30.85
340.03	120422000	34.07
340.04	130497000	37.57
340.03	137545000	39.81
340	341000	8.026
349.97	266000	6.777
350	9959000	7.521
350.01	19962000	8.498
350.02	29965000	9.524
350.03	39985000	10.7
350.04	50022000	11.94
350.05	60053000	13.28
350.05	70103000	14.81
350.06	80169000	16.49
350.05	90225000	18.26
350.06	100284000	20.24
350.07	110348000	22.51
350.07	120415000	25
350.08	130499000	27.76
350.07	137549000	29.92
360.02	178000	5.12
360.03	9854000	5.822
360.04	19860000	6.601
360.03	29863000	7.451
360.04	39875000	8.398
360.04	49903000	9.425
360.05	59942000	10.56
360.05	69986000	11.72
360.05	80037000	12.98
360.06	90100000	14.33
360.07	100150000	15.78
360.08	110220000	17.33
369.99	9843000	5.241
370	19836000	5.948
370	29844000	6.589
370	39864000	7.207
369.99	49900000	7.952
369.99	59931000	8.839
369.98	69974000	9.717
369.98	80019000	10.66
369.98	90082000	11.71
369.99	100151000	12.81
369.99	110216000	13.97
370	120291000	15.14
370	130361000	16.42
370	137397000	17.36
380	195000	3.66
380.01	9874000	4.175
380.01	19886000	4.72
380.02	29888000	5.213
380.01	39917000	5.744
380.02	49946000	6.295
380.02	59995000	6.883
380.03	70033000	7.539
380.03	80088000	8.255
380.04	90142000	9.025
380.05	100200000	9.85
380.05	110268000	10.72
380.05	120338000	11.65
380.06	130406000	12.67
380.06	137466000	13.45
380.02	40035000	5.667
390.04	139000	3.094
390.04	69958000	6.609
390.04	80008000	7.186
390.04	90064000	7.773
390.05	100115000	8.408
390.05	110189000	9.109
390.06	120249000	9.915
390.06	130331000	10.75
390.06	137377000	11.37
390.01	176000	3.057
390	9845000	3.459
390.01	19861000	3.907
390.01	29872000	4.365
390.02	39885000	4.843
390.03	49909000	5.363
390.03	59950000	5.894
400.01	216000	2.562
399.98	9885000	2.93
399.96	19876000	3.337
399.97	29879000	3.749
399.97	39898000	4.186
399.99	49921000	4.607
399.99	59963000	5.088
400	70002000	5.575
400	80054000	6.085
400.01	90106000	6.624
400.01	100153000	7.205
400.02	110215000	7.8
400	120294000	8.531
399.99	130353000	9.28
399.98	137408000	9.635
399.96	188000	2.591
410.02	151000	2.342
410.02	9821000	2.669
410.01	19837000	3.026
410.02	29846000	3.388
410.03	39861000	3.776
