T/K	   P/Pa	ρ/kgm-3   % PGT Experimental Measurements and Data Correlation of Pentaerythritol Esters
283.15	34410000	988.5
283.15	30032000	986.4
283.15	26005000	984.3
283.15	22008000	982.4
283.15	18037000	980.2
283.15	14031000	978.1
283.15	10030000	975.8
283.15	6009000	973.7
283.15	2021000	971.4
283.15	106000	970.3
303.15	34343000	975
303.15	30018000	972.7
303.15	26006000	970.5
303.15	22017000	968.4
303.15	18024000	966.2
303.15	14022000	964
303.15	10037000	961.6
303.15	6022000	959.2
303.15	2014000	956.6
303.15	105000	955.4
323.15	34474000	962
323.15	30013000	959.4
323.15	26028000	957.1
323.15	22025000	954.7
323.15	18019000	952.4
323.15	14007000	949.9
323.15	10026000	947.2
323.15	6024000	944.7
323.15	2017000	941.9
323.15	105000	940.6
343.15	33099000	948.3
343.15	30024000	946.4
343.15	26014000	943.9
343.15	22002000	941.5
343.15	18022000	938.8
343.15	14038000	936.2
343.15	10014000	933.3
343.15	6014000	930.4
343.15	2033000	927.4
343.15	105000	926.2
