x[wt% oil]	T[K]	p[Pa]    % Solubility of carbon dioxide in pentaerythritol tetraoctanoate
0.1703	273.15	2200000
0.2052	273.15	2480000
0.2673	273.15	2870000
0.3482	273.15	3190000
0.4646	273.15	3410000
0.5148	273.15	3450000
0.0147	283.15	310000
0.0272	283.15	560000
0.0454	283.15	920000
0.0728	283.15	1400000
0.1072	283.15	1940000
0.1594	283.15	2650000
0.2378	283.15	3450000
0.2975	283.15	3870000
0.3721	283.15	4220000
0.4514	283.15	4410000
0.4886	283.15	4450000
0.0088	303.15	250000
0.0222	303.15	630000
0.0319	303.15	890000
0.042	303.15	1170000
0.0623	303.15	1720000
0.0841	303.15	2260000
0.1084	303.15	2820000
0.1326	303.15	3360000
0.1687	303.15	4060000
0.2104	303.15	4780000
0.2717	303.15	5770000
0.3566	303.15	6700000
0.4	303.15	7080000
0.0074	323.15	290000
0.0187	323.15	700000
0.0266	323.15	1000000
0.0356	323.15	1310000
0.052	323.15	1940000
0.0702	323.15	2570000
0.0896	323.15	3220000
0.1094	323.15	3870000
0.1384	323.15	4720000
0.1698	323.15	5640000
0.2332	323.15	7310000
0.2694	323.15	8200000
0.3008	323.15	8820000
0.3508	323.15	9810000
0.0065	343.15	310000
0.0164	343.15	770000
0.0235	343.15	1100000
0.0314	343.15	1440000
0.0454	343.15	2140000
0.0636	343.15	2860000
0.0786	343.15	3590000
0.0989	343.15	4340000
0.1255	343.15	5330000
0.1532	343.15	6430000
0.2139	343.15	8500000
0.2545	343.15	9700000
