T/K	   P/Pa	ρ/kgm-3
290	25010000	970.7
290	20000000	968.1
290	15000000	965.4
290	10010000	962.7
290	5010000	959.9
290	4040000	959.3
290	3050000	958.7
290	2040000	958.2
290	1020000	957.6
290	510000	957.3
310	50020000	970.2
310	45010000	967.7
310	40010000	965.1
310	35010000	962.6
310	30020000	959.9
310	25000000	957.2
310	20000000	954.4
310	15020000	951.5
310	10020000	948.5
310	5030000	945.5
310	4010000	944.8
310	3010000	944.2
310	2020000	943.6
310	1030000	942.9
310	510000	942.6
330	49990000	957.7
330	45010000	955.1
330	40000000	952.4
330	35020000	949.6
330	30040000	946.8
330	25020000	943.9
330	20050000	940.9
330	15020000	937.8
330	10010000	934.6
330	5030000	931.3
330	4030000	930.6
330	3040000	929.9
330	2040000	929.2
330	1020000	928.5
330	520000	928.1
350	50080000	945.8
350	45000000	943
350	40000000	940.1
350	35010000	937.2
350	30030000	934.1
350	25010000	931
350	20040000	927.8
350	15010000	924.4
350	10010000	921
350	5010000	917.4
350	4020000	916.6
350	3020000	915.9
350	2020000	915.1
350	1020000	914.4
350	530000	914
370	50010000	933.7
370	45020000	930.8
370	40010000	927.7
370	35030000	924.6
370	30020000	921.3
370	25010000	918
370	20020000	914.5
370	15030000	910.9
370	10030000	907.2
370	5030000	903.2
370	4000000	902.4
370	3030000	901.6
370	2020000	900.8
370	1040000	899.9
370	530000	899.5
390	49990000	922
390	45010000	918.8
390	40020000	915.6
390	35030000	912.3
390	30030000	908.8
390	24990000	905.2
390	20030000	901.5
390	15020000	897.6
390	10050000	893.6
390	5030000	889.3
390	4010000	888.4
390	3030000	887.5
390	2040000	886.6
390	1030000	885.7
390	530000	885.3
410	50030000	910.6
410	45020000	907.3
410	40010000	903.8
410	35020000	900.3
410	30000000	896.6
410	25010000	892.8
410	20020000	888.8
410	15010000	884.6
410	10000000	880.2
410	5020000	875.5
410	4020000	874.5
410	3030000	873.6
410	2010000	872.6
410	1020000	871.6
410	520000	871.1
430	50020000	899.4
430	45020000	895.9
430	40020000	892.3
430	35020000	888.5
430	30010000	884.6
430	25020000	880.5
430	20020000	876.2
430	15000000	871.6
430	10030000	866.9
430	5010000	861.8
430	4010000	860.8
430	3040000	859.7
430	2020000	858.6
430	1040000	857.6
430	510000	857
450	50020000	888.5
450	45020000	884.8
450	40040000	880.9
450	35010000	876.9
450	30020000	872.7
450	25040000	868.3
450	20000000	863.7
450	15020000	858.8
450	10020000	853.6
450	5040000	848.2
450	4040000	847
450	3010000	845.8
450	2020000	844.6
450	1020000	843.4
450	540000	842.9
470	50010000	877.7
470	45020000	873.8
470	40040000	869.7
470	35020000	865.4
470	30010000	860.9
470	25020000	856.2
470	20030000	851.3
470	15020000	846
470	10010000	840.4
470	5000000	834.4
470	4030000	833.2
470	3010000	831.9
470	2010000	830.6
470	1010000	829.2
470	530000	828.6
