T [K]	p [Pa]	lambda [W m-1 K-1]
283.15	100000	0.1337
283.15	1000000	0.1339
283.15	2500000	0.1343
283.15	5000000	0.1349
283.15	7500000	0.1358
283.15	10000000	0.1364
283.15	12500000	0.137
283.15	15000000	0.1376
298.15	100000	0.1331
298.15	1000000	0.1335
298.15	2500000	0.1339
298.15	5000000	0.1345
298.15	7500000	0.1353
298.15	10000000	0.1359
298.15	12500000	0.1366
298.15	15000000	0.1371
323.15	100000	0.1321
323.15	1000000	0.1323
323.15	2500000	0.1326
323.15	5000000	0.1334
323.15	7500000	0.1341
323.15	10000000	0.1349
323.15	12500000	0.1357
323.15	15000000	0.1366
