T(K)	P(Pa)	Density (kg/m3)
278.291	95900.8	871.518
278.299	524574.1	871.712
278.298	1016833.1	872.016
278.3	2015151.8	872.633
278.304	3011252.4	873.246
288.257	95755.9	864.89
288.269	493052.3	865.074
288.269	990474.9	865.391
288.268	2001836	866.035
288.268	2997718.8	866.668
298.286	95578	858.412
298.292	504734.1	858.63
298.291	991822.6	858.949
298.29	1999737.1	859.612
298.292	3002244	860.267
313.206	96291.1	848.969
313.188	472981.1	849.205
313.196	1084334.8	849.622
313.192	2011493.2	850.267
313.196	2811128.7	850.816
323.168	97489.9	842.744
323.146	545364.7	843.049
323.153	980861.4	843.354
323.16	1767469.6	843.916
323.165	2996703.7	844.792

