T [K]	p [Pa]	eta [mPa s]
278.642	96432.4	6843.1939
278.656	543138.9	6948.5331
278.674	1033004.9	7060.0601
278.671	2001526.8	7308.3248
278.662	3013980.1	7588.9714
288.471	96047.1	2781.5595
288.477	494807.8	2818.973
288.469	1005829.5	2869.1287
288.466	2005873.2	2966.6815
288.472	2997117.2	3063.6233
299.237	96265	1166.5795
298.828	442606	1217.2946
298.816	1002010.2	1240.1417
298.817	2006526.7	1280.2041
298.844	3006788.3	1318.3575
313.831	97600.4	424.8778
313.683	515803.7	434.44
313.706	991002.2	439.889
313.699	2035458.9	454.0194
313.701	3003324.3	467.1489
323.49	99720.3	239.2605
323.496	292136.6	240.539
323.531	1002971.1	244.9399
323.5	2005555	252.4258
323.521	3007616.2	259.4466
