x[wt% oil]	T[K]	p[Pa]
94.73048885	275.15	250146.4276
94.7563909	276.15	255457.6943
94.78230857	277.15	260812.9311
94.80823942	278.15	266211.4534
94.83418099	279.15	271652.5764
94.86013085	280.15	277135.6153
94.88608656	281.15	282659.8853
94.91204566	282.15	288224.7017
94.93800573	283.15	293829.3799
94.96396431	284.15	299473.2349
94.98991897	285.15	305155.582
95.01586725	286.15	310875.7366
95.04180673	287.15	316633.0138
95.06773494	288.15	322426.7289
95.09364946	289.15	328256.1971
95.11954784	290.15	334120.7338
95.14542763	291.15	340019.654
95.1712864	292.15	345952.2731
95.19712169	293.15	351917.9064
95.22293107	294.15	357915.869
95.2487121	295.15	363945.4762
95.27446233	296.15	370006.0433
95.30017932	297.15	376096.8855
95.32586062	298.15	382217.318
95.3515038	299.15	388366.6562
95.3771064	300.15	394544.2152
95.40266599	301.15	400749.3103
95.42818013	302.15	406981.2567
95.45364637	303.15	413239.3697
95.47906227	304.15	419522.9646
95.50442538	305.15	425831.3565
95.52973326	306.15	432163.8608
95.55498348	307.15	438519.7926
95.58017358	308.15	444898.4672
95.60530113	309.15	451299.1999
95.63036367	310.15	457721.306
95.65535878	311.15	464164.1005
95.680284	312.15	470626.8989
95.70513689	313.15	477109.0163
95.72991502	314.15	483609.7681
95.75461593	315.15	490128.4693
95.77923718	316.15	496664.4354
95.80377633	317.15	503216.9815
95.82823095	318.15	509785.4229
95.85259858	319.15	516369.0748
95.87687678	320.15	522967.2525
95.90106311	321.15	529579.2712
95.92515513	322.15	536204.4461
95.94915039	323.15	542842.0926
95.97304645	324.15	549491.5259
95.99684087	325.15	556152.0611
96.02053121	326.15	562823.0136
96.04411502	327.15	569503.6987
96.06758986	328.15	576193.4314
96.09095328	329.15	582891.5272
96.11420285	330.15	589597.3011
96.13733612	331.15	596310.0686
96.16035065	332.15	603029.1448
96.18324399	333.15	609753.845
96.20601371	334.15	616483.4844
96.22865735	335.15	623217.3783
96.25117248	336.15	629954.8419
96.27355666	337.15	636695.1904
96.29580744	338.15	643437.7392
96.31792237	339.15	650181.8034
96.33989902	340.15	656926.6984
96.36173494	341.15	663671.7393
96.38342769	342.15	670416.2413
96.40497483	343.15	677159.5199
96.42637391	344.15	683900.8901
96.44762249	345.15	690639.6672
96.46871813	346.15	697375.1665
96.48965838	347.15	704106.7033
96.51044081	348.15	710833.5927
96.53106297	349.15	717555.1501
96.55152241	350.15	724270.6906
96.5718167	351.15	730979.5295
96.59194338	352.15	737680.9821
96.61190003	353.15	744374.3636
96.63168419	354.15	751058.9892
96.65129342	355.15	757734.1743
96.67072528	356.15	764399.234
96.68997733	357.15	771053.4836
96.70904712	358.15	777696.2383
96.72793221	359.15	784326.8134
96.74663016	360.15	790944.5242
96.76513852	361.15	797548.6858
96.78345486	362.15	804138.6135
96.80157672	363.15	810713.6226
96.81950167	364.15	817273.0284
96.83722726	365.15	823816.146
96.85475106	366.15	830342.2907
96.87207061	367.15	836850.7777
96.88918348	368.15	843340.9224
96.90608722	369.15	849812.0399
96.92277939	370.15	856263.4455
96.93925754	371.15	862694.4545
96.95551924	372.15	869104.382
96.97156203	373.15	875492.5434
96.98738349	374.15	881858.2538
97.00298116	375.15	888200.8286
97.0183526	376.15	894519.583
97.03349537	377.15	900813.8321
97.04840703	378.15	907082.8914
97.06308513	379.15	913326.0759
97.07752723	380.15	919542.7011
97.09173089	381.15	925732.082
97.10569366	382.15	931893.534
97.1194131	383.15	938026.3722
97.13288677	384.15	944129.912
97.14611223	385.15	950203.4687
97.15908703	386.15	956246.3573
97.17180873	387.15	962257.8932
97.18427489	388.15	968237.3917
97.19648307	389.15	974184.1679
97.20843081	390.15	980097.5372
97.22011569	391.15	985976.8147
97.23153525	392.15	991821.3158
97.24268705	393.15	997630.3556
97.25356865	394.15	1003403.249
97.26417761	395.15	1009139.313
97.27451148	396.15	1014837.86
97.28456783	397.15	1020498.207
97.29434421	398.15	1026119.67
97.30383817	399.15	1031701.562
97.31304727	400.15	1037243.2
97.32196907	401.15	1042743.899
97.33060113	402.15	1048202.974
87.77345714	265.15	339656.0649
87.82463624	266.15	350425.0479
87.8761446	267.15	361321.3153
87.9279728	268.15	372343.0485
87.98011143	269.15	383488.4283
88.03255105	270.15	394755.636
88.08528226	271.15	406142.8527
88.13829564	272.15	417648.2594
88.19158175	273.15	429270.0373
88.2451312	274.15	441006.3675
88.29893455	275.15	452855.4311
88.3529824	276.15	464815.4091
88.40726531	277.15	476884.4828
88.46177387	278.15	489060.8332
88.51649866	279.15	501342.6414
88.57143027	280.15	513728.0886
88.62655927	281.15	526215.3558
88.68187625	282.15	538802.6242
88.73737178	283.15	551488.0748
88.79303644	284.15	564269.8888
88.84886083	285.15	577146.2473
88.90483551	286.15	590115.3313
88.96095107	287.15	603175.3221
89.0171981	288.15	616324.4007
89.07356716	289.15	629560.7481
89.13004885	290.15	642882.5456
89.18663374	291.15	656287.9743
89.24331242	292.15	669775.2152
89.30007546	293.15	683342.4494
89.35691345	294.15	696987.8581
89.41381696	295.15	710709.6223
89.47077659	296.15	724505.9233
89.5277829	297.15	738374.942
89.58482648	298.15	752314.8596
89.64189792	299.15	766323.8572
89.69898779	300.15	780400.1159
89.75608667	301.15	794541.8169
89.81318514	302.15	808747.1411
89.8702738	303.15	823014.2698
89.92734321	304.15	837341.3841
89.98438395	305.15	851726.665
90.04138662	306.15	866168.2937
90.09834178	307.15	880664.4512
90.15524002	308.15	895213.3188
90.21207193	309.15	909813.0774
90.26882808	310.15	924461.9082
90.32549905	311.15	939157.9923
90.38207543	312.15	953899.5109
90.43854779	313.15	968684.6449
90.49490672	314.15	983511.5756
90.5511428	315.15	998378.4841
90.6072466	316.15	1013283.551
90.66320872	317.15	1028224.959
90.71901972	318.15	1043200.887
90.7746702	319.15	1058209.517
90.83015073	320.15	1073249.031
90.88545189	321.15	1088317.609
90.94056427	322.15	1103413.433
90.99547844	323.15	1118534.683
91.05018499	324.15	1133679.541
91.1046745	325.15	1148846.188
91.15893754	326.15	1164032.805
91.21296471	327.15	1179237.573
91.26674657	328.15	1194458.673
91.32027372	329.15	1209694.286
91.37353673	330.15	1224942.594
91.42652618	331.15	1240201.777
91.47923266	332.15	1255470.017
91.53164674	333.15	1270745.494
91.58375901	334.15	1286026.39
91.63556005	335.15	1301310.887
91.68704044	336.15	1316597.164
91.73819075	337.15	1331883.403
91.78900158	338.15	1347167.786
91.83946349	339.15	1362448.493
91.88956708	340.15	1377723.705
91.93930293	341.15	1392991.604
91.98866161	342.15	1408250.37
92.0376337	343.15	1423498.186
92.08620979	344.15	1438733.231
92.13438046	345.15	1453953.688
92.18213628	346.15	1469157.736
92.22946785	347.15	1484343.558
92.27636573	348.15	1499509.334
92.32282052	349.15	1514653.245
92.36882279	350.15	1529773.473
92.41436312	351.15	1544868.199
92.4594321	352.15	1559935.603
92.5040203	353.15	1574973.867
92.54811831	354.15	1589981.173
92.59171671	355.15	1604955.7
92.63480608	356.15	1619895.631
92.67737699	357.15	1634799.145
92.71942004	358.15	1649664.426
92.7609258	359.15	1664489.653
92.80188485	360.15	1679273.007
92.84228777	361.15	1694012.67
92.88212515	362.15	1708706.823
92.92138756	363.15	1723353.647
92.96006559	364.15	1737951.324
92.99814982	365.15	1752498.033
93.03563082	366.15	1766991.956
93.07249919	367.15	1781431.275
93.10874549	368.15	1795814.171
93.14436032	369.15	1810138.824
93.17933425	370.15	1824403.416
93.21365786	371.15	1838606.127
93.24732174	372.15	1852745.14
93.28031646	373.15	1866818.635
93.31263261	374.15	1880824.793
93.34426077	375.15	1894761.795
93.37519151	376.15	1908627.822
93.40541543	377.15	1922421.056
93.43492309	378.15	1936139.678
93.46370509	379.15	1949781.868
93.491752	380.15	1963345.808
93.5190544	381.15	1976829.679
93.54560288	382.15	1990231.662
93.57138801	383.15	2003549.938
93.59640038	384.15	2016782.689
93.62063057	385.15	2029928.094
93.64406915	386.15	2042984.337
93.66670671	387.15	2055949.596
93.68853384	388.15	2068822.055
93.70954111	389.15	2081599.893
93.72971909	390.15	2094281.292
93.74905839	391.15	2106864.434
93.76754956	392.15	2119347.498
93.7851832	393.15	2131728.667
93.80194989	394.15	2144006.12
93.81784021	395.15	2156178.041
93.83284473	396.15	2168242.609
93.84695405	397.15	2180198.005
